req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,abandoned,8589154,8577786,0,,,,1,,,
1,abandoned,8588858,8592377,3,,,,1,,,
2,completed,8587255,8577820,1,1.0,7.340000000000089,1.0,3,0.0,6.340000000000089,6.340000000000089
3,abandoned,8589154,8587238,8,,,,3,,,
4,completed,8589138,8587356,6,7.4,10.763333333331605,1.0,1,1.4000000000000004,3.363333333331605,4.763333333331605
5,completed,8589152,8587255,1,8.356666666665888,17.36999999999827,1.0,2,7.3566666666658875,9.013333333332383,16.36999999999827
6,completed,8587255,8588858,8,8.193333333331964,16.179999999997932,0.0,1,0.19333333333196379,7.986666666665968,8.179999999997932
7,completed,8577741,8587255,8,18.48999999999623,16.269999999999982,0.0,1,10.489999999996229,-2.219999999996247,8.269999999999982
8,completed,8587255,8589158,10,17.406666666664727,17.779999999999973,1.0,2,7.4066666666647265,0.3733333333352462,7.779999999999973
9,completed,8588858,8589147,6,16.253333333329564,23.16333333333324,0.0,2,10.253333333329564,6.910000000003677,17.16333333333324
10,completed,8587255,8589141,9,16.306666666666615,26.316666666666666,0.0,1,7.306666666666615,10.010000000000051,17.316666666666666
11,completed,8589161,8592374,0,2.2,4.586666666665297,0.0,1,2.2,2.386666666665297,4.586666666665297
12,completed,8589155,8592374,2,7.319999999999936,8.656666666666524,0.0,4,5.319999999999936,1.3366666666665878,6.656666666666524
13,completed,8588858,8589138,5,16.216666666666665,24.6,0.0,2,11.216666666666665,8.383333333333336,19.6
14,completed,8589161,8577820,3,3.1666666666666665,7.303333333333427,1.0,1,0.16666666666666652,4.136666666666761,4.303333333333427
15,abandoned,8589155,8589130,1,,,,3,,,
16,abandoned,8589138,8577741,1,,,,2,,,
17,abandoned,8592374,8577785,5,,,,6,,,
18,completed,8589152,8592377,20,21.04666666666664,39.426666666665824,1.0,1,1.0466666666666384,18.379999999999185,19.426666666665824
19,abandoned,8587238,8589141,28,,,,2,,,
20,completed,8577786,8577741,21,37.48666666666665,42.28,0.0,2,16.48666666666665,4.793333333333351,21.28
21,completed,8589147,8588351,30,12.0,39.016666666666666,1.0,1,-18.0,27.016666666666666,9.016666666666666
22,completed,8589152,8592378,25,21.083333333333332,38.42000000000007,1.0,3,-3.916666666666668,17.33666666666674,13.420000000000073
23,completed,8587356,8588344,21,29.353333333333154,31.88000000000011,0.0,4,8.353333333333154,2.526666666666955,10.88000000000011
24,abandoned,8591766,8589155,23,,,,1,,,
25,abandoned,8589161,8588351,31,,,,1,,,
26,abandoned,8577785,8588858,31,,,,1,,,
27,in_transit,8577741,8592377,37,50.0,,0.0,4,13.0,,
28,abandoned,8589154,8592375,35,,,,4,,,
29,abandoned,8504622,8589131,35,,,,2,,,
30,completed,8588344,8589155,34,31.916666666666668,45.80999999999929,0.0,1,-2.083333333333332,13.893333333332624,11.809999999999292
31,in_transit,8589158,8589155,40,42.516666666666666,,1.0,1,2.5166666666666657,,
32,completed,8591767,8589152,40,49.78333333333333,51.97333333333328,1.0,2,9.783333333333331,2.189999999999948,11.97333333333328
