bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8577785,0.0,0
0,0,1,12,8589155,7.32,4
0,0,2,30,8592374,8.66,0
0,0,3,11,8589161,10.89,1
0,0,4,29,8592374,13.28,0
0,0,5,13,8588858,19.75,2
0,0,6,9,8588858,19.78,4
0,0,7,7,8577741,22.02,5
0,0,8,10,8587255,29.79,6
0,0,9,25,8587255,29.82,5
0,0,10,27,8589147,36.56,3
0,0,11,31,8589138,37.98,1
0,0,12,28,8589141,39.69,0
0,10,0,44,8592374,0.0,0
0,10,1,20,8589161,2.2,1
0,10,2,42,8592374,4.59,0
0,10,3,10,8587255,8.19,1
0,10,4,32,8588858,16.18,0
0,10,5,21,8588858,16.22,2
0,10,6,18,8588858,16.25,4
0,10,7,16,8577741,18.49,5
0,10,8,19,8587255,26.26,6
0,10,9,38,8587255,26.29,5
0,10,10,40,8589147,33.03,3
0,10,11,43,8589138,34.45,1
0,10,12,41,8589141,36.16,0
0,10,13,5,8587356,39.2,4
0,10,14,27,8588344,50.11,0
0,20,0,54,8577741,0.0,0
0,20,1,18,8577741,0.0,1
0,20,2,19,8577741,8.0,3
0,20,3,20,8577741,8.0,5
0,20,4,45,8587255,16.27,4
0,20,5,26,8587255,16.31,5
0,20,6,46,8589147,23.16,3
0,20,7,47,8589138,24.6,1
0,20,8,53,8589141,26.32,0
0,20,9,25,8587356,29.35,4
0,20,10,52,8588344,40.27,0
0,20,11,5,8588344,40.31,1
0,20,12,11,8588858,50.66,6
0,20,13,38,8589155,51.78,1
0,20,14,32,8589155,51.82,0
0,20,15,2,8577741,54.88,4
0,20,16,29,8592377,63.45,0
0,30,0,56,8587356,0.0,0
0,30,1,18,8587356,0.0,4
0,30,2,46,8588344,31.88,0
0,30,3,22,8588344,31.92,1
0,30,4,16,8577786,37.49,3
0,30,5,44,8577741,45.52,1
0,30,6,26,8588858,47.78,6
0,30,7,54,8589155,48.9,1
0,30,8,50,8589155,48.93,0
0,30,9,21,8577741,52.0,4
0,30,10,4,8577741,52.04,6
0,30,11,32,8592378,60.95,4
0,30,12,49,8592377,61.96,0
0,30,13,3,8588344,67.5,2
0,30,14,31,8589154,78.2,0
0,40,0,68,8577786,0.0,0
0,40,1,24,8577786,0.0,2
0,40,2,25,8577786,29.86,3
0,40,3,58,8577741,42.28,1
0,40,4,32,8588858,44.57,6
0,40,5,66,8589155,45.77,1
0,40,6,59,8589155,45.81,0
0,40,7,28,8577741,48.88,4
0,40,8,27,8577741,48.91,6
0,40,9,61,8592378,60.54,4
0,40,10,62,8592377,61.54,0
0,40,11,5,8577785,63.46,2
0,40,12,39,8577786,65.88,0
0,40,13,26,8588344,68.48,2
0,40,14,60,8589154,79.1,0
0,40,15,8,8577741,80.44,1
0,40,16,42,8589152,96.29,0
0,50,0,68,8577741,20.0,0
0,50,1,25,8577741,20.0,2
0,50,2,26,8577741,50.0,6
0,50,3,59,8592378,60.5,4
0,50,4,60,8592377,61.51,0
0,50,5,28,8577785,63.42,2
0,50,6,62,8577786,65.84,0
0,50,7,31,8588344,68.45,2
0,50,8,30,8577741,78.31,3
0,50,9,17,8589154,79.83,4
0,50,10,65,8589154,79.87,2
0,50,11,51,8504622,93.17,1
0,50,12,64,8589152,94.69,0
1,0,0,37,8587255,0.0,0
1,0,1,2,8587255,1.0,3
1,0,2,14,8589161,3.17,4
1,0,3,32,8577820,7.3,3
1,0,4,20,8577820,7.34,0
1,0,5,4,8589138,14.78,1
1,0,6,5,8589152,15.73,3
1,0,7,22,8587356,18.14,2
1,0,8,23,8587255,24.75,0
1,0,9,8,8587255,24.78,2
1,0,10,26,8589158,32.42,0
1,10,0,45,8577820,0.0,0
1,10,1,14,8589138,7.4,1
1,10,2,15,8589152,8.36,3
1,10,3,36,8587356,10.76,2
1,10,4,37,8587255,17.37,0
1,10,5,17,8587255,17.41,2
1,10,6,0,8589152,27.11,3
1,10,7,4,8589152,27.14,6
1,10,8,3,8589147,30.0,7
1,10,9,39,8589158,30.91,5
1,10,10,25,8588351,40.39,4
1,10,11,26,8592378,46.28,1
1,10,12,22,8592377,47.29,0
1,20,0,55,8587255,10.0,0
1,20,1,21,8587255,10.0,2
1,20,2,48,8589158,17.78,0
