bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8588351,0.0,0
0,0,1,12,8589155,5.17,4
0,0,2,30,8592374,6.51,0
0,0,3,11,8589161,8.74,1
0,0,4,29,8592374,11.13,0
0,0,5,2,8587255,14.74,3
0,0,6,14,8589161,16.9,4
0,0,7,20,8577820,21.04,1
0,0,8,32,8577820,21.08,0
0,0,9,17,8592374,25.56,6
0,0,10,35,8577785,32.98,0
1,0,0,37,8589147,0.0,2
1,0,1,16,8589138,1.38,4
1,0,2,5,8589152,2.34,6
1,0,3,23,8587255,10.07,4
1,0,4,6,8587255,10.11,5
1,0,5,7,8577741,19.43,6
1,0,6,34,8577741,19.46,4
1,0,7,9,8588858,21.75,6
1,0,8,24,8588858,21.79,5
1,0,9,10,8587255,27.62,6
1,0,10,8,8587255,27.66,8
1,0,11,25,8587255,27.7,7
1,0,12,27,8589147,34.43,5
1,0,13,26,8589158,35.34,3
1,0,14,28,8589141,39.25,2
