bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8589131,0.0,0
0,0,1,11,8589161,9.77,1
0,0,2,29,8592374,12.16,0
0,0,3,2,8587255,15.76,3
0,0,4,14,8589161,17.93,4
0,0,5,20,8577820,22.07,1
0,0,6,32,8577820,22.1,0
0,0,7,6,8587255,27.32,1
0,0,8,24,8588858,35.31,0
0,10,0,50,8589161,0.0,0
0,10,1,16,8589161,0.0,1
0,10,2,41,8592374,2.35,0
0,10,3,18,8587255,5.96,3
0,10,4,24,8589161,8.12,4
0,10,5,49,8577820,12.26,3
0,10,6,43,8577820,12.3,0
0,10,7,19,8587255,17.51,1
0,10,8,44,8588858,25.5,0
0,10,9,1,8587238,34.42,2
0,10,10,26,8589141,45.33,0
0,10,11,4,8589152,46.07,3
0,10,12,29,8592378,59.34,0
0,20,0,56,8587255,8.68,0
0,20,1,20,8587255,8.68,1
0,20,2,48,8588858,16.78,0
0,20,3,18,8589154,17.71,3
0,20,4,23,8587238,28.0,5
0,20,5,46,8587238,28.04,2
0,20,6,8,8504622,37.04,4
0,20,7,36,8589147,38.01,2
0,20,8,9,8504622,38.9,4
0,20,9,37,8589141,41.31,2
0,20,10,51,8589141,41.35,0
0,20,11,25,8589152,42.09,3
0,20,12,0,8589161,51.7,4
0,20,13,28,8588351,54.42,3
0,20,14,53,8592378,59.04,0
0,20,15,10,8592377,60.04,1
0,20,16,38,8589154,70.5,0
0,30,0,58,8587238,0.0,0
0,30,1,20,8587238,0.0,2
0,30,2,24,8504622,36.97,4
0,30,3,53,8589141,39.39,2
0,30,4,27,8589152,40.12,5
0,30,5,49,8589141,40.91,3
0,30,6,23,8504622,43.47,5
0,30,7,52,8589147,44.43,3
0,30,8,25,8592377,56.95,4
0,30,9,56,8592378,58.94,1
0,30,10,54,8589154,68.42,0
0,30,11,21,8589161,73.94,1
0,30,12,50,8588351,76.66,0
0,40,0,66,8589141,28.0,0
0,40,1,23,8589141,28.0,2
0,40,2,56,8589141,28.0,0
0,40,3,32,8589152,28.66,3
0,40,4,29,8504622,33.0,5
0,40,5,62,8589147,33.99,3
0,40,6,65,8592378,46.82,0
0,40,7,30,8592377,47.83,1
0,40,8,63,8589154,58.15,0
0,40,9,27,8589161,63.88,1
0,40,10,60,8588351,66.62,0
0,40,11,3,8577820,68.21,2
0,40,12,36,8589271,78.47,0
0,40,13,9,8589271,78.51,1
0,40,14,42,8592377,94.03,0
0,50,0,66,8592377,8.0,3
0,50,1,25,8592377,8.0,4
0,50,2,58,8589154,48.28,3
0,50,3,31,8589161,54.02,4
0,50,4,64,8588351,56.75,3
0,50,5,27,8577820,58.34,5
0,50,6,28,8589271,68.61,6
0,50,7,60,8589271,68.64,4
0,50,8,12,8589147,73.61,6
0,50,9,45,8592377,86.13,4
0,50,10,0,8577785,88.04,5
0,50,11,61,8592377,89.53,4
0,50,12,33,8587255,99.24,3
0,60,0,70,8577820,27.0,0
0,60,1,27,8577820,27.0,2
0,60,2,62,8589271,67.12,0
0,60,3,34,8589271,67.16,1
0,60,4,33,8589147,72.16,3
0,60,5,29,8577785,84.65,4
0,60,6,11,8577785,84.69,6
0,60,7,69,8592377,86.17,5
0,60,8,68,8592377,86.21,3
0,60,9,1,8587255,96.03,6
0,60,10,64,8587255,96.06,5
0,60,11,46,8589152,103.9,3
0,60,12,36,8589152,103.94,0
1,0,0,37,8589141,0.0,0
1,0,1,16,8589138,1.95,2
1,0,2,9,8588858,15.32,4
1,0,3,13,8588858,15.35,6
1,0,4,7,8577741,17.59,7
1,0,5,34,8577741,17.63,5
1,0,6,10,8587255,25.39,6
1,0,7,25,8587255,25.43,5
1,0,8,27,8589147,32.17,3
1,0,9,31,8589138,33.58,1
1,0,10,28,8589141,35.3,0
1,10,0,51,8589138,0.0,0
1,10,1,17,8589138,0.0,2
1,10,2,42,8577741,14.92,0
1,10,3,21,8588858,17.21,2
1,10,4,23,8588858,17.24,4
1,10,5,48,8589138,29.68,2
1,10,6,46,8589147,31.25,0
1,10,7,3,8589147,31.28,1
1,10,8,28,8588351,40.0,0
1,10,9,20,8577741,46.06,1
1,10,10,45,8587255,53.82,0
1,10,11,22,8587255,53.86,1
1,10,12,47,8589141,62.2,0
1,20,0,57,8588858,0.0,0
1,20,1,21,8588858,0.0,2
1,20,2,22,8588858,6.0,4
1,20,3,26,8577741,8.1,5
1,20,4,54,8587255,16.41,4
1,20,5,50,8589138,23.19,2
1,20,6,49,8589147,24.76,0
1,20,7,27,8587255,31.32,1
1,20,8,55,8589141,39.72,0
1,20,9,24,8589147,43.01,1
1,20,10,52,8588351,52.02,0
1,20,11,6,8589158,60.75,1
1,20,12,34,8589155,75.62,0
1,30,0,59,8589147,0.0,0
1,30,1,28,8587255,9.0,1
1,30,2,57,8589141,17.41,0
1,30,3,18,8587356,20.44,4
1,30,4,47,8588344,31.92,0
1,30,5,22,8589158,43.67,1
1,30,6,26,8589147,44.54,2
1,30,7,12,8591767,45.21,4
1,30,8,41,8589152,47.44,2
1,30,9,6,8577820,55.91,3
1,30,10,55,8588351,57.52,2
1,30,11,35,8588858,62.32,1
1,30,12,51,8589155,63.44,0
1,30,13,4,8577741,66.51,2
1,30,14,33,8592378,75.42,0
1,40,0,67,8588344,29.5,0
1,40,1,26,8591767,40.0,2
1,40,2,31,8589147,40.67,3
1,40,3,59,8589152,43.15,1
1,40,4,25,8577820,51.59,2
1,40,5,64,8588351,53.18,1
1,40,6,58,8588858,58.09,0
1,40,7,24,8577741,60.25,2
1,40,8,57,8592378,70.79,0
1,40,9,28,8589158,84.35,1
1,40,10,61,8589155,99.24,0
1,50,0,67,8589152,4.59,0
1,50,1,26,8589152,4.59,1
1,50,2,32,8589158,38.07,2
1,50,3,30,8577820,47.97,3
1,50,4,59,8588351,49.59,2
1,50,5,65,8589155,55.02,1
1,50,6,63,8588858,56.13,0
1,50,7,29,8577741,58.29,2
1,50,8,9,8588351,66.15,3
1,50,9,42,8592375,73.91,2
1,50,10,62,8592378,75.67,0
1,50,11,2,8592378,75.71,4
1,50,12,4,8577786,79.05,5
1,50,13,37,8588351,86.73,4
1,50,14,35,8589147,94.47,0
1,60,0,71,8577741,29.05,3
1,60,1,28,8577741,29.05,5
1,60,2,32,8588351,65.92,6
1,60,3,67,8592375,75.09,5
1,60,4,63,8592378,76.85,3
1,60,5,30,8592378,76.89,7
1,60,6,31,8577786,80.7,8
1,60,7,66,8588351,86.96,7
1,60,8,65,8589147,94.83,3
1,60,9,10,8504622,95.7,8
1,60,10,45,8592377,108.1,3
