req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins
0,abandoned,8589154,8577786,0,,,,1,
1,abandoned,8588858,8592377,3,,,,1,
2,completed,8587255,8577820,1,3.5699999999999363,9.873333333334589,0.0,3,2.5699999999999363
3,abandoned,8589154,8587238,8,,,,3,
4,completed,8589138,8587356,6,16.173333233841017,8.529999999999973,1.0,1,10.173333233841017
5,abandoned,8589152,8587255,1,,,,2,
6,completed,8587255,8588858,8,15.146666666666647,23.283333333333335,1.0,1,7.146666666666647
7,abandoned,8577741,8587255,8,,,,1,
8,completed,8587255,8589158,10,15.12666666666735,17.78,0.0,2,5.126666666667351
9,completed,8588858,8589147,6,6.356666666666552,17.73999990050768,1.0,2,0.3566666666665519
10,completed,8587255,8589141,9,15.16333333333349,21.666666666666668,0.0,1,6.16333333333349
11,completed,8589161,8592374,0,6.079999999999927,8.466666666666667,0.0,1,6.079999999999927
12,completed,8589155,8592374,2,7.4933333333324335,8.829999999999092,1.0,4,5.4933333333324335
13,completed,8588858,8589138,5,6.319999999999936,16.136666567175098,1.0,2,1.3199999999999363
14,completed,8589161,8577820,3,5.736666666666139,9.910000000000833,0.0,1,2.736666666666139
15,abandoned,8589155,8589130,1,,,,3,
16,completed,8589138,8577741,1,16.099999900508724,25.420000000000087,1.0,2,15.099999900508724
17,abandoned,8592374,8577785,5,,,,6,
18,in_transit,8589152,8592377,20,22.403333333333265,,0.0,1,2.403333333333265
19,waiting,8587238,8589141,28,,,,2,
20,waiting,8577786,8577741,21,,,,2,
21,waiting,8589147,8588351,30,,,,1,
22,in_transit,8589152,8592378,25,25.0,,0.0,3,0.0
23,waiting,8587356,8588344,21,,,,4,
24,waiting,8591766,8589155,23,,,,1,
25,waiting,8589161,8588351,31,,,,1,
26,waiting,8577785,8588858,31,,,,1,
27,waiting,8577741,8592377,37,,,,4,
28,waiting,8589154,8592375,35,,,,4,
29,waiting,8504622,8589131,35,,,,2,
30,waiting,8588344,8589155,34,,,,1,
31,waiting,8589158,8589155,40,,,,1,
32,waiting,8591767,8589152,40,,,,2,
33,waiting,8504622,8589147,33,,,,2,
34,waiting,8504622,8589141,36,,,,2,
35,waiting,8592377,8589154,38,,,,1,
36,waiting,8588858,8589155,35,,,,5,
37,waiting,8592375,8589161,30,,,,4,
38,waiting,8588858,8592375,30,,,,1,
39,waiting,8592374,8589130,46,,,,2,
40,waiting,8592377,8591767,43,,,,2,
41,waiting,8587356,8592378,45,,,,1,
42,waiting,8588344,8589154,47,,,,2,
43,waiting,8577741,8592378,50,,,,2,
44,waiting,8589141,8577820,44,,,,3,
45,waiting,8577820,8588858,48,,,,1,
