bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8589158,0.0,1
0,0,1,5,8589152,4.74,3
0,0,2,4,8589138,6.0,4
0,0,3,22,8587356,8.74,3
0,0,4,2,8587255,15.34,6
0,0,5,23,8587255,15.38,4
0,0,6,20,8577820,20.74,1
0,0,7,10,8587255,25.95,2
0,0,8,8,8587255,25.99,4
0,0,9,26,8589158,33.63,2
0,0,10,28,8589141,37.53,1
0,10,0,46,8587356,1.0,1
0,10,1,16,8587356,1.0,3
0,10,2,17,8587255,7.57,6
0,10,3,39,8587255,7.61,4
0,10,4,10,8587255,7.64,5
0,10,5,40,8577820,13.36,2
0,10,6,12,8588858,19.71,4
0,10,7,33,8588858,19.75,3
0,10,8,19,8587255,25.59,4
0,10,9,18,8587255,25.62,6
0,10,10,35,8589147,32.36,4
0,10,11,41,8589158,33.27,2
0,10,12,0,8589152,36.5,3
0,10,13,42,8589141,37.29,2
0,10,14,3,8589147,40.61,3
0,10,15,26,8588351,49.32,2
0,10,16,23,8592377,54.88,1
0,20,0,54,8588858,3.21,1
0,20,1,19,8588858,3.21,3
0,20,2,25,8587255,12.0,5
0,20,3,26,8587255,12.04,6
0,20,4,46,8589147,18.91,4
0,20,5,52,8589158,19.82,2
0,20,6,53,8589141,23.7,1
0,20,7,21,8589152,24.44,2
0,20,8,8,8504622,33.0,4
0,20,9,35,8589147,33.97,2
0,20,10,22,8589147,34.0,3
0,20,11,0,8589161,42.49,4
0,20,12,27,8588351,45.21,3
0,20,13,49,8588351,45.24,2
0,20,14,48,8592377,50.96,1
0,20,15,10,8592377,51.0,2
0,20,16,37,8589154,61.46,1
0,30,0,56,8589152,0.0,0
0,30,1,18,8589152,0.0,1
0,30,2,46,8592377,33.48,0
0,30,3,13,8592375,37.2,4
0,30,4,41,8589161,43.58,0
0,30,5,21,8589161,43.62,1
0,30,6,49,8588351,46.34,0
0,30,7,24,8504622,53.37,2
0,30,8,52,8589147,54.34,0
0,30,9,27,8589147,54.38,1
0,30,10,55,8588351,63.38,0
0,30,11,25,8592377,68.9,1
0,30,12,53,8589154,79.36,0
1,0,0,37,8592374,0.0,1
1,0,1,11,8589161,2.2,2
1,0,2,29,8592374,4.59,1
1,0,3,12,8589155,11.62,5
1,0,4,15,8589155,12.43,8
1,0,5,30,8592374,13.76,4
1,0,6,14,8589161,16.0,5
1,0,7,32,8577820,20.37,4
1,0,8,33,8589130,28.74,1
1,10,0,47,8592374,0.0,0
1,10,1,22,8589155,7.0,3
1,10,2,20,8589155,7.04,7
1,10,3,43,8592374,8.37,3
1,10,4,21,8589161,10.61,4
1,10,5,44,8577820,14.75,3
1,10,6,45,8589130,23.11,0
1,10,7,5,8587356,34.9,4
1,10,8,4,8589152,38.51,7
1,10,9,28,8588344,50.61,3
1,10,10,27,8592378,57.85,0
1,20,0,55,8577820,1.0,0
1,20,1,20,8577820,1.0,3
1,20,2,47,8589130,9.25,0
1,20,3,24,8587356,21.12,4
1,20,4,23,8589152,24.65,7
1,20,5,51,8588344,37.12,3
1,20,6,5,8588344,37.15,4
1,20,7,50,8592378,43.49,1
1,20,8,11,8588858,50.75,6
1,20,9,38,8589155,51.86,1
1,20,10,32,8589155,51.9,0
1,20,11,2,8577741,54.97,4
1,20,12,29,8592377,63.53,0
1,30,0,57,8589152,0.0,0
1,30,1,19,8589152,0.0,3
1,30,2,20,8589152,25.0,7
1,30,3,23,8588344,37.08,8
1,30,4,48,8588344,37.12,4
1,30,5,47,8592378,43.45,1
1,30,6,26,8588858,50.71,6
1,30,7,54,8589155,51.83,1
1,30,8,51,8589155,51.86,0
1,30,9,22,8577741,54.93,4
1,30,10,4,8577741,54.97,6
1,30,11,0,8592374,59.4,8
1,30,12,32,8592378,66.62,6
1,30,13,50,8592377,67.63,2
1,30,14,28,8589130,76.58,0
