bus_id,simulation_time,stop_sequence,logical_node,physical_location,arrival_time
0,0,0,14,8589130,0
0,0,1,5,8588344,0
0,0,2,12,8589155,0
0,10,0,30,8588344,10
0,10,1,13,8588344,10
0,10,2,4,8592377,10
0,10,3,28,8589155,10
0,10,4,1,8589155,10
0,10,5,16,8589270,10
0,10,6,19,8589158,10
0,20,0,50,8592377,20
0,20,1,19,8592377,20
0,20,2,24,8592377,20
0,20,3,7,8588858,20
0,20,4,16,8589155,20
0,20,5,49,8589155,20
0,20,6,41,8589270,20
0,20,7,32,8589158,20
0,20,8,44,8589158,20
0,30,0,40,8588858,30
0,30,1,19,8588858,30
0,30,2,8,8588858,30
0,30,3,16,8588858,30
0,30,4,39,8589155,30
0,30,5,13,8589155,30
0,30,6,33,8589270,30
0,30,7,28,8589158,30
0,30,8,36,8589158,30
0,30,9,0,8589158,30
0,30,10,20,8589270,30
0,40,0,40,8589155,40
0,40,1,17,8589155,40
0,40,2,12,8589155,40
0,40,3,14,8589155,40
0,40,4,9,8589158,40
0,40,5,29,8589270,40
0,40,6,34,8589270,40
0,40,7,32,8589158,40
0,40,8,37,8589158,40
0,50,0,46,8589155,50
0,50,1,13,8589158,50
0,50,2,36,8589270,50
0,50,3,17,8589155,50
0,50,4,16,8589155,50
0,50,5,20,8589155,50
0,50,6,10,8589155,50
0,50,7,40,8589270,50
0,50,8,33,8589147,50
0,50,9,39,8589158,50
0,50,10,43,8589158,50
1,0,0,15,8589158,0
1,0,1,4,8591767,0
1,0,2,11,8587255,0
1,0,3,0,8587255,0
1,0,4,7,8589141,0
1,10,0,31,8587255,10
1,10,1,9,8587255,10
1,10,2,24,8589141,10
1,10,3,0,8591767,10
1,10,4,15,8589131,10
1,20,0,51,8589141,20
1,20,1,15,8591767,20
1,20,2,9,8577820,20
1,20,3,12,8577820,20
1,20,4,40,8589131,20
1,20,5,3,8589131,20
1,20,6,34,8589130,20
1,20,7,37,8589130,20
1,20,8,28,8577741,20
1,30,0,41,8589131,30
1,30,1,7,8589131,30
1,30,2,11,8589131,30
1,30,3,10,8589131,30
1,30,4,30,8589130,30
1,30,5,31,8589130,30
1,30,6,27,8577741,30
1,40,0,41,8589130,40
1,40,1,11,8589130,40
1,40,2,31,8577741,40
1,50,0,47,8589130,50
1,50,1,15,8589130,50
1,50,2,38,8577741,50
1,50,3,9,8589154,50
1,50,4,32,8589155,50
1,50,5,5,8592374,50
1,50,6,28,8588351,50
1,50,7,1,8587255,50
1,50,8,24,8589130,50
2,0,0,16,8589271,0
2,0,1,6,8588351,0
2,0,2,13,8587255,0
2,10,0,32,8589271,10
2,10,1,14,8588351,10
2,10,2,29,8587255,10
2,10,3,3,8577785,10
2,10,4,18,8589154,10
2,20,0,52,8587255,20
2,20,1,18,8577785,20
2,20,2,13,8577741,20
2,20,3,43,8589154,20
2,20,4,8,8589154,20
2,20,5,38,8577786,20
2,20,6,33,8589130,20
2,30,0,42,8577785,30
2,30,1,9,8589154,30
2,30,2,12,8577741,30
2,30,3,32,8577786,30
2,30,4,15,8577785,30
2,30,5,29,8589130,30
2,30,6,35,8589154,30
2,40,0,42,8577785,40
2,40,1,13,8577785,40
2,40,2,16,8577785,40
2,40,3,33,8589130,40
2,40,4,36,8589154,40
2,50,0,48,8589130,50
2,50,1,19,8589130,50
2,50,2,2,8589155,50
2,50,3,25,8589154,50
2,50,4,42,8589154,50
3,0,0,17,8589131,0
3,0,1,2,8588351,0
3,0,2,9,8592377,0
3,0,3,1,8592377,0
3,0,4,8,8588344,0
3,10,0,33,8588351,10
3,10,1,11,8588351,10
3,10,2,10,8592377,10
3,10,3,26,8592377,10
3,10,4,25,8588344,10
3,10,5,6,8588344,10
3,10,6,21,8587255,10
3,20,0,53,8592377,20
3,20,1,22,8592377,20
3,20,2,47,8588344,20
3,20,3,20,8588344,20
3,20,4,45,8587255,20
3,30,0,43,8588344,30
3,30,1,17,8588344,30
3,30,2,5,8589130,30
3,30,3,25,8591766,30
3,30,4,37,8587255,30
3,40,0,43,8589130,40
3,40,1,10,8589130,40
3,40,2,18,8589130,40
3,40,3,4,8589152,40
3,40,4,24,8589270,40
3,40,5,30,8591766,40
3,40,6,38,8587255,40
3,50,0,49,8589130,50
3,50,1,11,8589152,50
3,50,2,34,8589270,50
3,50,3,14,8589130,50
3,50,4,21,8589130,50
3,50,5,37,8591766,50
3,50,6,44,8587255,50
4,0,0,18,8589158,0
4,0,1,3,8577786,0
4,0,2,10,8589147,0
4,10,0,34,8589158,10
4,10,1,12,8577786,10
4,10,2,2,8589270,10
4,10,3,27,8589147,10
4,10,4,7,8587356,10
4,10,5,17,8592375,10
4,10,6,22,8592378,10
4,20,0,54,8589270,20
4,20,1,21,8587356,20
4,20,2,23,8589270,20
4,20,3,17,8589270,20
4,20,4,48,8589147,20
4,20,5,46,8592378,20
4,20,6,42,8592375,20
4,20,7,2,8592375,20
4,20,8,27,8588351,20
4,30,0,44,8589147,30
4,30,1,6,8592375,30
4,30,2,26,8588351,30
4,30,3,14,8589147,30
4,30,4,18,8589147,30
4,30,5,34,8592375,30
4,30,6,38,8592378,30
4,40,0,44,8588351,40
4,40,1,19,8589147,40
4,40,2,15,8589147,40
4,40,3,35,8592375,40
4,40,4,39,8592378,40
4,40,5,7,8592378,40
4,40,6,27,8589158,40
4,50,0,50,8589147,50
4,50,1,12,8592378,50
4,50,2,22,8589147,50
4,50,3,35,8589158,50
4,50,4,18,8589147,50
4,50,5,41,8592375,50
4,50,6,45,8592378,50
