bus_id,simulation_time,stop_sequence,logical_node,physical_location,arrival_time
0,0,0,24,8589141,0
0,10,0,42,8589141,10
0,20,0,42,8589141,20
0,20,1,6,8589141,20
0,20,2,27,8589138,20
0,30,0,48,8589141,30
0,30,1,13,8589141,30
0,30,2,37,8589138,30
0,30,3,2,8591766,30
0,30,4,26,8589152,30
0,40,0,44,8591766,40
0,40,1,6,8591766,40
0,40,2,28,8589152,40
0,40,3,1,8589152,40
0,40,4,23,8589131,40
0,50,0,44,8589152,50
0,50,1,7,8589152,50
0,50,2,5,8577786,50
0,50,3,27,8589131,50
0,50,4,29,8589131,50
1,0,0,25,8589270,0
1,10,0,43,8589270,10
1,20,0,43,8589270,20
1,30,0,49,8589270,30
1,30,1,6,8577820,30
1,30,2,30,8587238,30
1,40,0,45,8587238,40
1,50,0,45,8587238,50
2,0,0,26,8577741,0
2,10,0,44,8577741,10
2,20,0,44,8577741,20
2,30,0,50,8577741,30
2,40,0,46,8577741,40
2,50,0,46,8577741,50
3,0,0,27,8589154,0
3,10,0,45,8589154,10
3,20,0,45,8589154,20
3,30,0,51,8589154,30
3,40,0,47,8589154,40
3,50,0,47,8589154,50
4,0,0,28,8587238,0
4,10,0,46,8587238,10
4,20,0,46,8587238,20
4,30,0,52,8587238,30
4,30,1,5,8592378,30
4,30,2,4,8592378,30
4,30,3,29,8589270,30
4,30,4,28,8589158,30
4,40,0,48,8592378,40
4,40,1,7,8592378,40
4,40,2,8,8592378,40
4,40,3,30,8589270,40
4,40,4,29,8589158,40
4,50,0,48,8592378,50
4,50,1,12,8592378,50
4,50,2,13,8592378,50
4,50,3,35,8589270,50
4,50,4,34,8589158,50
5,0,0,29,8587356,0
5,10,0,47,8587356,10
5,20,0,47,8587356,20
5,30,0,53,8587356,30
5,40,0,49,8587356,40
5,50,0,49,8587356,50
6,0,0,30,8589270,0
6,10,0,48,8589270,10
6,20,0,48,8589270,20
6,30,0,54,8589270,30
6,40,0,50,8589270,40
6,40,1,2,8587255,40
6,40,2,24,8592377,40
6,50,0,50,8587255,50
6,50,1,8,8587255,50
6,50,2,30,8592377,50
7,0,0,31,8589154,0
7,0,1,7,8589154,0
7,0,2,19,8592377,0
7,10,0,49,8589154,10
7,10,1,16,8589154,10
7,10,2,37,8592377,10
7,10,3,9,8577785,10
7,10,4,30,8577741,10
7,20,0,49,8592377,20
7,20,1,13,8577785,20
7,20,2,34,8577741,20
7,30,0,55,8577785,30
7,30,1,18,8577785,30
7,30,2,42,8577741,30
7,40,0,51,8577785,40
7,40,1,17,8577785,40
7,40,2,39,8577741,40
7,50,0,51,8577741,50
8,0,0,32,8589147,0
8,0,1,10,8589131,0
8,0,2,22,8589270,0
8,10,0,50,8589147,10
8,10,1,19,8589131,10
8,10,2,40,8589270,10
8,20,0,50,8589131,20
8,20,1,20,8589131,20
8,20,2,2,8587356,20
8,20,3,23,8591766,20
8,20,4,4,8591767,20
8,20,5,41,8589270,20
8,20,6,25,8587255,20
8,30,0,56,8589131,30
8,30,1,23,8589131,30
8,30,2,47,8589270,30
8,30,3,9,8587356,30
8,30,4,33,8591766,30
8,30,5,11,8591767,30
8,30,6,35,8587255,30
8,40,0,52,8589131,40
8,40,1,11,8587356,40
8,40,2,33,8591766,40
8,40,3,12,8591767,40
8,40,4,34,8587255,40
8,40,5,21,8589131,40
8,40,6,4,8589131,40
8,40,7,26,8591766,40
8,40,8,43,8589270,40
8,50,0,52,8589131,50
8,50,1,10,8589131,50
8,50,2,21,8589131,50
8,50,3,32,8591766,50
8,50,4,43,8589270,50
8,50,5,3,8589152,50
8,50,6,25,8577741,50
9,0,0,33,8588858,0
9,0,1,0,8588858,0
9,0,2,12,8589155,0
9,10,0,51,8588858,10
9,10,1,11,8588858,10
9,10,2,32,8589155,10
9,10,3,3,8592374,10
9,10,4,8,8592374,10
9,10,5,29,8589155,10
9,10,6,24,8589130,10
9,20,0,51,8592374,20
9,20,1,10,8592374,20
9,20,2,12,8592374,20
9,20,3,33,8589155,20
9,20,4,31,8589130,20
9,30,0,57,8589155,30
9,30,1,16,8589155,30
9,30,2,40,8589130,30
9,40,0,53,8589155,40
9,40,1,16,8589155,40
9,40,2,38,8589130,40
9,50,0,53,8589155,50
9,50,1,17,8589155,50
9,50,2,39,8589130,50
10,0,0,34,8588351,0
10,0,1,11,8589155,0
10,0,2,23,8587238,0
10,10,0,52,8589155,10
10,10,1,20,8589155,10
10,10,2,41,8587238,10
10,20,0,52,8587238,20
10,30,0,58,8587238,30
10,40,0,54,8587238,40
10,50,0,54,8587238,50
11,0,0,35,8589155,0
11,10,0,53,8589155,10
11,20,0,53,8589155,20
11,30,0,59,8589155,30
11,40,0,55,8589155,40
11,50,0,55,8589155,50
12,0,0,36,8589130,0
12,10,0,54,8589130,10
12,20,0,54,8589130,20
12,30,0,60,8589130,30
12,40,0,56,8589130,40
12,50,0,56,8589130,50
13,0,0,37,8591767,0
13,10,0,55,8591767,10
13,20,0,55,8591767,20
13,30,0,61,8591767,30
13,40,0,57,8591767,40
13,50,0,57,8591767,50
14,0,0,38,8589130,0
14,10,0,56,8589130,10
14,20,0,56,8589130,20
14,30,0,62,8589130,30
14,40,0,58,8589130,40
14,50,0,58,8589130,50
15,0,0,39,8587356,0
15,10,0,57,8587356,10
15,10,1,0,8587356,10
15,10,2,2,8504622,10
15,10,3,23,8577741,10
15,10,4,21,8588858,10
15,20,0,57,8587356,20
15,20,1,7,8587356,20
15,20,2,9,8504622,20
15,20,3,28,8588858,20
15,20,4,30,8577741,20
15,30,0,63,8504622,30
15,30,1,15,8504622,30
15,30,2,14,8504622,30
15,30,3,38,8588858,30
15,30,4,39,8577741,30
15,40,0,59,8504622,40
15,40,1,14,8504622,40
15,40,2,3,8504622,40
15,40,3,15,8504622,40
15,40,4,25,8592374,40
15,40,5,36,8588858,40
15,40,6,37,8577741,40
15,50,0,59,8504622,50
15,50,1,9,8504622,50
15,50,2,15,8504622,50
15,50,3,16,8504622,50
15,50,4,31,8592374,50
15,50,5,37,8588858,50
15,50,6,38,8577741,50
16,0,0,40,8589158,0
16,0,1,8,8577785,0
16,0,2,3,8577785,0
16,0,3,20,8589138,0
16,0,4,15,8589141,0
16,10,0,58,8589158,10
16,10,1,13,8577785,10
16,10,2,17,8577785,10
16,10,3,38,8589138,10
16,10,4,34,8589141,10
16,20,0,58,8577785,20
16,20,1,15,8577785,20
16,20,2,18,8577785,20
16,20,3,1,8588858,20
16,20,4,39,8589138,20
16,20,5,36,8589141,20
16,20,6,22,8589271,20
16,30,0,64,8588858,30
16,30,1,20,8588858,30
16,30,2,8,8588858,30
16,30,3,22,8588858,30
16,30,4,46,8589138,30
16,30,5,44,8589141,30
16,30,6,32,8589271,30
16,40,0,60,8588858,40
16,40,1,10,8588858,40
16,40,2,18,8588858,40
16,40,3,20,8588858,40
16,40,4,42,8589138,40
16,40,5,40,8589141,40
16,40,6,32,8589271,40
16,50,0,60,8588858,50
16,50,1,18,8588858,50
16,50,2,14,8588858,50
16,50,3,20,8588858,50
16,50,4,42,8589138,50
16,50,5,4,8589141,50
16,50,6,40,8589141,50
16,50,7,36,8589271,50
16,50,8,26,8589131,50
17,0,0,41,8589154,0
17,10,0,59,8589154,10
17,20,0,59,8589154,20
17,30,0,65,8589154,30
17,40,0,61,8589154,40
17,50,0,61,8589154,50
18,0,0,42,8588858,0
18,10,0,60,8588858,10
18,20,0,60,8588858,20
18,20,1,0,8588858,20
18,20,2,21,8592374,20
18,30,0,66,8592374,30
18,40,0,62,8592374,40
18,50,0,62,8592374,50
19,0,0,43,8504622,0
19,0,1,4,8589138,0
19,0,2,16,8589130,0
19,10,0,61,8504622,10
19,10,1,14,8589138,10
19,10,2,35,8589130,10
19,20,0,61,8589138,20
19,20,1,16,8589138,20
19,20,2,37,8589130,20
19,30,0,67,8589138,30
19,30,1,21,8589138,30
19,30,2,45,8589130,30
19,40,0,63,8589138,40
19,40,1,19,8589138,40
19,40,2,41,8589130,40
19,50,0,63,8589138,50
