req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,abandoned,8589154,8577786,0,,,,1,,,
1,completed,8587238,8592377,3,18.13666666666677,28.519999999999982,0.0,3,15.13666666666677,10.383333333333212,25.519999999999982
2,completed,8588858,8577820,1,6.429999999984574,15.63000000000011,0.0,3,5.429999999984574,9.200000000015535,14.63000000000011
3,completed,8589155,8587238,8,8.433333333333334,18.17333333333346,0.0,1,0.43333333333333357,9.740000000000126,10.17333333333346
4,waiting,8591767,8587356,6,,,,2,,,
5,waiting,8591766,8587255,21,,,,2,,,
6,completed,8588344,8588858,28,35.5,47.52999999999997,0.0,1,7.5,12.029999999999973,19.529999999999973
7,waiting,8589152,8587255,28,,,,1,,,
8,in_transit,8588344,8589158,30,30.0,,1.0,4,0.0,,
9,waiting,8589158,8589147,26,,,,2,,,
10,in_transit,8588858,8589141,29,47.56666666666667,,0.0,1,18.56666666666667,,
11,abandoned,8592377,8592374,30,,,,1,,,
12,abandoned,8589161,8592374,32,,,,1,,,
13,waiting,8589158,8589138,35,,,,1,,,
14,abandoned,8592377,8577820,33,,,,2,,,
15,abandoned,8589161,8589130,31,,,,2,,,
16,abandoned,8591767,8577741,31,,,,1,,,
17,abandoned,8589131,8577785,35,,,,3,,,
18,abandoned,8589152,8592377,30,,,,4,,,
19,abandoned,8587238,8589141,38,,,,1,,,
20,completed,8577786,8577741,31,38.98666666666659,49.72333333333336,0.0,3,7.9866666666665935,10.736666666666764,18.723333333333358
21,abandoned,8589147,8588351,40,,,,1,,,
22,waiting,8589152,8592378,35,,,,4,,,
23,abandoned,8587356,8588344,41,,,,1,,,
24,abandoned,8591766,8589155,43,,,,1,,,
25,abandoned,8589161,8588351,41,,,,2,,,
26,abandoned,8577785,8588858,41,,,,2,,,
27,abandoned,8577741,8592377,47,,,,2,,,
28,abandoned,8589154,8592375,45,,,,1,,,
29,abandoned,8504622,8589131,45,,,,5,,,
30,waiting,8588344,8589155,54,,,,1,,,
31,waiting,8589158,8589155,60,,,,2,,,
32,waiting,8591767,8589152,60,,,,1,,,
33,waiting,8504622,8589147,53,,,,2,,,
34,waiting,8504622,8589141,56,,,,2,,,
35,waiting,8592377,8589154,58,,,,3,,,
36,waiting,8588858,8589155,55,,,,1,,,
37,waiting,8592375,8589161,50,,,,1,,,
38,waiting,8588858,8592375,50,,,,2,,,
39,waiting,8592374,8589130,66,,,,2,,,
40,waiting,8592377,8591767,63,,,,3,,,
41,waiting,8587356,8592378,65,,,,1,,,
42,waiting,8588344,8589154,67,,,,2,,,
43,waiting,8577741,8592378,70,,,,1,,,
44,waiting,8589141,8577820,64,,,,2,,,
45,waiting,8577820,8588858,68,,,,1,,,
46,waiting,8589147,8592377,79,,,,4,,,
47,waiting,8589138,8592378,79,,,,2,,,
48,waiting,8577741,8589131,73,,,,1,,,
49,waiting,8577820,8589271,77,,,,4,,,
50,waiting,8591767,8589161,70,,,,5,,,
51,waiting,8577785,8577786,72,,,,2,,,
52,waiting,8589154,8504622,80,,,,1,,,
53,waiting,8589138,8589152,81,,,,1,,,
54,waiting,8577741,8589152,87,,,,2,,,
