bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,10,8592374,0.0,0.0
0,0,1,2,8588858,6.43,3.0
0,0,2,3,8589155,8.43,4.0
0,0,3,7,8577820,13.67,1.0
0,0,4,1,8587238,16.17,4.0
0,0,5,8,8587238,16.21,3.0
0,0,6,6,8592377,24.82,0.0
0,10,0,22,8589155,10.0,0.0
0,10,1,7,8589155,10.0,3.0
0,10,2,8,8589155,10.0,4.0
0,10,3,18,8577820,15.63,1.0
0,10,4,9,8587238,18.14,4.0
0,10,5,19,8587238,18.17,3.0
0,10,6,20,8592377,26.78,0.0
0,10,7,1,8588344,32.95,1.0
0,10,8,12,8588858,41.96,0.0
0,10,9,5,8588858,42.0,1.0
0,10,10,16,8589141,56.02,0.0
0,20,0,40,8587238,20.0,0.0
0,20,1,13,8587238,20.0,3.0
0,20,2,33,8592377,28.52,0.0
0,20,3,15,8588344,34.06,1.0
0,20,4,9,8577786,37.54,4.0
0,20,5,18,8588858,43.58,5.0
0,20,6,35,8588858,44.79,4.0
0,20,7,29,8577741,46.92,1.0
0,20,8,38,8589141,63.18,0.0
0,30,0,52,8592377,30.0,0.0
0,30,1,21,8588344,35.5,1.0
0,30,2,18,8577786,38.99,4.0
0,30,3,24,8588858,45.02,5.0
0,30,4,44,8577741,47.16,2.0
0,30,5,47,8588858,49.42,1.0
0,30,6,50,8589141,63.57,0.0
0,40,0,70,8577786,40.0,0.0
0,40,1,25,8577786,40.0,3.0
0,40,2,26,8577786,40.0,4.0
0,40,3,61,8588858,47.53,3.0
0,40,4,33,8588858,47.57,4.0
0,40,5,60,8577741,49.72,1.0
0,40,6,3,8504622,64.13,3.0
0,40,7,2,8591767,64.47,4.0
0,40,8,38,8589147,65.13,2.0
0,40,9,4,8504622,66.0,4.0
0,40,10,37,8589152,67.52,3.0
0,40,11,68,8589141,68.28,2.0
0,40,12,39,8589141,68.34,0.0
0,40,13,1,8589158,72.55,2.0
0,40,14,36,8589155,87.44,0.0
0,50,0,66,8577741,50.0,0.0
0,50,1,21,8577741,50.0,1.0
0,50,2,25,8504622,64.37,3.0
0,50,3,24,8591767,64.71,4.0
0,50,4,58,8589147,65.37,2.0
0,50,5,26,8504622,66.24,4.0
0,50,6,57,8589152,67.76,3.0
0,50,7,54,8589141,68.52,2.0
0,50,8,5,8589141,68.56,4.0
0,50,9,59,8589141,68.6,2.0
0,50,10,23,8589158,72.81,4.0
0,50,11,38,8577820,82.13,2.0
0,50,12,56,8589155,95.12,0.0
0,60,0,62,8577741,60.0,0.0
0,60,1,18,8577741,60.0,1.0
0,60,2,23,8504622,74.58,3.0
0,60,3,22,8591767,74.9,4.0
0,60,4,54,8589147,75.53,2.0
0,60,5,24,8504622,76.4,4.0
0,60,6,53,8589152,77.89,3.0
0,60,7,49,8589141,78.55,2.0
0,60,8,20,8589141,78.59,4.0
0,60,9,55,8589141,78.76,2.0
0,60,10,21,8589158,82.79,4.0
0,60,11,51,8577820,90.9,2.0
0,60,12,52,8589155,98.26,0.0
1,0,0,11,8588344,0.0,0.0
1,0,1,4,8591767,11.47,2.0
1,0,2,9,8587356,13.73,0.0
1,10,0,23,8588344,10.0,0.0
1,10,1,10,8591767,20.35,2.0
1,10,2,21,8587356,22.62,0.0
1,10,3,2,8589152,28.0,1.0
1,10,4,4,8589158,31.54,3.0
1,10,5,15,8589147,32.4,1.0
1,10,6,0,8591766,33.26,3.0
1,10,7,13,8587255,38.95,2.0
1,10,8,11,8587255,38.98,0.0
1,20,0,41,8588344,20.0,0.0
1,20,1,19,8591767,30.4,2.0
1,20,2,39,8587356,32.72,0.0
1,20,3,2,8589158,36.32,1.0
1,20,4,17,8589158,36.36,3.0
1,20,5,37,8589147,37.29,1.0
1,20,6,22,8589138,38.73,0.0
1,20,7,16,8589152,39.69,1.0
1,20,8,11,8589152,39.72,5.0
1,20,9,14,8591766,42.08,7.0
1,20,10,34,8587255,47.75,5.0
1,20,11,36,8587255,47.78,4.0
1,20,12,31,8592378,55.87,0.0
1,30,0,53,8588344,30.0,0.0
1,30,1,16,8588344,30.0,4.0
