req_id,pax,orig_station,dest_station,request_time,status,pickup_time,dropoff_time,actual_pickup,wait_time
0,2,8589154,8577786,0,Served,5.329999999998563,14.769999999999982,5.329999999998563,5.329999999998563
1,3,8587238,8592377,3,Served,9.43000000000052,11.569999999999936,9.43000000000052,6.43000000000052
2,4,8588858,8577820,1,Served,9.35,15.650000000000006,9.35,8.35
3,4,8589155,8587238,8,Served,7.766666666666667,19.018157908496278,8.0,0.0
4,2,8591767,8587356,6,Served,9.921666666666638,13.266666666666667,9.921666666666638,3.9216666666666384
5,5,8591766,8587255,1,Served,10.313333333334493,16.0,10.313333333334493,9.313333333334493
6,2,8588344,8588858,8,Served,4.279999999975644,18.319999999999936,8.0,0.0
7,5,8589152,8587255,8,Served,0.9200000000000728,15.963333333334498,8.0,0.0
8,3,8588344,8589158,10,Served,0.0,25.116666666666667,10.0,0.0
9,5,8589158,8589147,6,Served,0.0,6.866666666666666,6.0,0.0
10,7,8588858,8589141,9,Served,9.313333333336093,29.129999999999995,9.313333333336093,0.31333333333609303
11,1,8592377,8592374,0,Served,0.0,14.386666666666585,0.0,0.0
12,4,8589161,8592374,12,Served,12.0,14.423333333333007,12.0,0.0
13,2,8589158,8589138,15,Served,0.0,17.38666666666677,15.0,0.0
14,3,8592377,8577820,13,Served,19.434069619482294,28.0,19.434069619482294,6.434069619482294
15,5,8589161,8589130,11,Served,16.659999999999656,22.4,16.659999999999656,5.6599999999996555
16,4,8591767,8577741,11,Served,11.0,23.319999999999936,11.0,0.0
17,6,8589131,8577785,15,Served,6.369999999999891,20.2,15.0,0.0
18,7,8589152,8592377,10,Served,16.678333333333285,23.480000000000018,16.678333333333285,6.678333333333285
19,1,8587238,8589141,18,Served,18.509391583555615,29.166666666666668,18.509391583555615,0.5093915835556153
20,5,8577786,8577741,21,Served,27.753333333333345,32.99999999999996,27.753333333333345,6.7533333333333445
21,2,8589147,8588351,30,Served,30.0,38.97000000000003,30.0,0.0
22,8,8589152,8592378,25,Served,28.405461886901776,35.305788022432836,28.405461886901776,3.405461886901776
23,2,8587356,8588344,21,Served,21.509999999999962,36.674999999999955,21.509999999999962,0.5099999999999625
24,2,8591766,8589155,23,Served,23.0,36.673333333333346,23.0,0.0
25,3,8589161,8588351,21,Served,21.0,23.716666666666665,21.0,0.0
26,5,8577785,8588858,21,Served,25.466666666666665,30.863333333333294,25.466666666666665,4.466666666666665
27,5,8577741,8592377,27,Served,26.316666666666666,39.79500000000007,27.0,0.0
28,2,8589154,8592375,25,Served,19.25666666666659,37.001666666666786,25.0,0.0
29,1,8504622,8589131,25,Served,26.833333333333332,39.23166666666663,26.833333333333332,1.8333333333333321
30,3,8588344,8589155,24,Served,27.78666666666672,34.40000000000009,27.78666666666672,3.7866666666667186
31,4,8589158,8589155,40,Served,10.0,54.85,40.0,0.0
32,3,8591767,8589152,40,Served,41.203333333333376,44.428333333333285,41.203333333333376,1.2033333333333758
33,2,8504622,8589147,33,Served,33.0,33.95,33.0,0.0
34,3,8504622,8589141,36,Served,41.87333333333348,45.32333333333352,41.87333333333348,5.873333333333477
35,4,8592377,8589154,38,Served,39.7583333333335,48.27999999999997,39.7583333333335,1.7583333333335034
36,4,8588858,8589155,35,Served,35.52000000000001,36.636666666666684,35.52000000000001,0.5200000000000102
37,4,8592375,8589161,30,Served,38.649999999999864,45.0,38.649999999999864,8.649999999999864
38,6,8588858,8592375,40,Served,46.36999999999989,55.0,46.36999999999989,6.369999999999891
39,3,8592374,8589130,46,Served,16.0,61.0,46.0,0.0
40,2,8592377,8591767,43,Served,48.703333333333376,54.48000000000002,48.703333333333376,5.703333333333376
41,4,8587356,8592378,45,Served,48.25166666666664,64.76999999999998,48.25166666666664,3.2516666666666367
42,6,8588344,8589154,47,Served,17.0,57.57999999999993,47.0,0.0
43,3,8577741,8592378,50,Served,55.25,61.86999999999989,55.25,5.25
44,7,8589141,8577820,44,Served,14.0,53.01999999999998,44.0,0.0
45,4,8577820,8588858,48,Served,56.27166666666656,54.819999999999936,56.27166666666656,8.271666666666562
46,6,8589147,8592377,49,Served,49.0,61.930000000000064,49.0,0.0
47,8,8589138,8592378,49,Served,49.0,64.73333333333333,49.0,0.0
48,5,8577741,8589131,43,Served,48.15,58.0,48.15,5.149999999999999
49,8,8577820,8589271,57,Served,57.0,67.11999999999989,57.0,0.0
50,8,8591767,8589161,50,Served,54.516666666666666,58.11999999999989,54.516666666666666,4.516666666666666
51,2,8577785,8577786,52,Served,58.146666666666476,56.35,58.146666666666476,6.146666666666476
52,4,8589154,8504622,60,In-Transit,60.0,,60.0,0.0
53,2,8589138,8589152,51,Served,21.0,51.93666666666667,51.0,0.0
54,3,8577741,8589152,57,In-Transit,65.07499999999982,,65.07499999999982,8.074999999999818
55,2,8589271,8592377,68,In-Transit,38.0,,68.0,0.0
56,6,8577785,8587255,70,In-Transit,70.0,,70.0,0.0
57,2,8587238,8577786,70,In-Transit,40.0,,70.0,0.0
58,5,8592378,8589147,64,In-Transit,64.80666666666667,,64.80666666666667,0.806666666666672
59,4,8589161,8589154,65,In-Transit,35.0,,65.0,0.0
60,6,8577786,8588351,66,Waiting,,,66.0,0.0
61,1,8504622,8589141,60,Served,30.0,62.356666666666804,60.0,0.0
62,1,8587238,8592378,64,In-Transit,64.0,,64.0,0.0
63,3,8589271,8589161,62,In-Transit,67.15666666666657,,67.15666666666657,5.156666666666567
64,3,8589271,8577786,70,In-Transit,68.03666666666665,,70.0,0.0
