time,event_type,description
0.0,SIMULATION_START,"Simulation initialized: 4178 passengers, 148 buses"
1210.2322619573513,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1223.994695638554,PASSENGERS_ABANDONED,4 passengers abandoned due to timeout
1230.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1235.8863941887557,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1244.9930461849278,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1248.433174235871,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1254.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1260.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1265.69500616213,PASSENGERS_ABANDONED,3 passengers abandoned due to timeout
1277.826004503884,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1290.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1291.2728100836655,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1293.8962861737111,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1299.306305474473,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1305.7491661189765,PASSENGERS_ABANDONED,3 passengers abandoned due to timeout
1315.654976222776,PASSENGERS_ABANDONED,4 passengers abandoned due to timeout
1319.8787567141223,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1333.3384205034204,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1339.7205631391191,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1350.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1361.4161614566424,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1364.7572261598416,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1380.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1392.5690693385322,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1415.0337336625203,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1428.7241574147085,PASSENGERS_ABANDONED,3 passengers abandoned due to timeout
1433.72289151013,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1440.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1444.443797071392,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1468.1567014714637,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1494.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1496.6635319338839,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1498.987649818467,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1503.8379306704032,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1516.0,PASSENGERS_ABANDONED,3 passengers abandoned due to timeout
1540.266436673475,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1544.0,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1554.1260387369364,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1581.8401845702524,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1597.5577642439932,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1627.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
1642.892584368441,PASSENGERS_ABANDONED,2 passengers abandoned due to timeout
1650.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
