bus_id,route_name,stop_sequence,station_id,arrival_time
BUS_1_T1,Route1,0,A,08:00:00
BUS_1_T1,Route1,1,B,08:05:00
BUS_1_T1,Route1,2,C,08:10:00
BUS_1_T1,Route1,3,D,08:15:00
BUS_1_T2,Route1,0,A,08:20:00
BUS_1_T2,Route1,1,B,08:25:00
BUS_1_T2,Route1,2,C,08:30:00
BUS_1_T2,Route1,3,D,08:35:00
BUS_1_T3,Route1,0,A,08:40:00
BUS_1_T3,Route1,1,B,08:45:00
BUS_1_T3,Route1,2,C,08:50:00
BUS_1_T3,Route1,3,D,08:55:00
BUS_2_T1,Route2,0,E,08:05:00
BUS_2_T1,Route2,1,D,08:10:00
BUS_2_T1,Route2,2,C,08:15:00
BUS_2_T1,Route2,3,B,08:20:00
BUS_2_T2,Route2,0,E,08:25:00
BUS_2_T2,Route2,1,D,08:30:00
BUS_2_T2,Route2,2,C,08:35:00
BUS_2_T2,Route2,3,B,08:40:00
BUS_2_T3,Route2,0,E,08:45:00
BUS_2_T3,Route2,1,D,08:50:00
BUS_2_T3,Route2,2,C,08:55:00
BUS_2_T3,Route2,3,B,09:00:00
BUS_3_T1,Route3,0,A,08:10:00
BUS_3_T1,Route3,1,C,08:17:00
BUS_3_T1,Route3,2,E,08:24:00
BUS_3_T2,Route3,0,A,08:30:00
BUS_3_T2,Route3,1,C,08:37:00
BUS_3_T2,Route3,2,E,08:44:00
BUS_3_T3,Route3,0,A,08:50:00
BUS_3_T3,Route3,1,C,08:57:00
BUS_3_T3,Route3,2,E,09:04:00
