time,event_type,description
0.0,SIMULATION_START,"Simulation initialized: 7 passengers, 9 buses"
30,OPTIMIZER_CALL,"Optimizer: 2 pending, 2 assigned"
60,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
90,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
120,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
150,OPTIMIZER_CALL,"Optimizer: 1 pending, 1 assigned"
180,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
210,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
240,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
270,OPTIMIZER_CALL,"Optimizer: 2 pending, 2 assigned"
300,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
330,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
360,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
390,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
420,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
450,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
480,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
510,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
540,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
570,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
600,OPTIMIZER_CALL,"Optimizer: 1 pending, 1 assigned"
630,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
660,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
690,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
720,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
750,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
780,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
810,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
840,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
870,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
900.0,BUS_ROUTE_COMPLETED,"BUS_1_T1 completed route, served 0 passengers"
900,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
930.0,MINIBUS_IDLE,MINIBUS_1 completed route plan at D
930,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
960,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
990,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1020,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1050,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1080,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1110,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1140,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1170,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1200.0,BUS_ROUTE_COMPLETED,"BUS_2_T1 completed route, served 0 passengers"
1200.0,MINIBUS_IDLE,MINIBUS_2 completed route plan at E
1200,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1230,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1260,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1290,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1320,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1350,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1380,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1410,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1440.0,BUS_ROUTE_COMPLETED,"BUS_3_T1 completed route, served 1 passengers"
1440,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1470,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
1500,OPTIMIZER_CALL,"Optimizer: 0 pending, 0 assigned"
