bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,36,8587356,0.0,0
0,0,1,5,8589152,4.74,2
0,0,2,4,8589138,6.0,3
0,0,3,22,8587356,8.74,2
0,0,4,2,8587255,15.34,5
0,0,5,23,8587255,15.38,3
0,0,6,14,8589161,17.55,4
0,0,7,32,8577820,21.68,3
0,0,8,20,8577820,21.72,0
0,0,9,6,8587255,26.94,1
0,0,10,24,8588858,34.92,0
0,10,0,46,8587356,0.0,0
0,10,1,14,8587356,0.0,2
0,10,2,37,8587255,7.57,0
0,10,3,15,8587255,7.61,3
0,10,4,22,8589161,9.77,4
0,10,5,45,8577820,13.91,3
0,10,6,38,8577820,13.95,0
0,10,7,16,8587255,19.16,1
0,10,8,39,8588858,27.15,0
0,10,9,2,8577786,33.31,2
0,10,10,25,8577741,41.14,0
0,20,0,54,8587255,0.0,0
0,20,1,19,8587255,0.0,1
0,20,2,46,8588858,16.1,0
0,20,3,23,8577786,28.68,2
0,20,4,1,8577785,31.0,3
0,20,5,28,8588858,37.92,2
0,20,6,50,8577741,40.05,0
0,20,7,11,8588858,42.31,5
0,20,8,38,8589155,43.43,0
0,20,9,13,8588858,44.56,1
0,20,10,3,8589154,45.5,5
0,20,11,40,8592375,55.49,4
0,20,12,30,8592375,55.52,0
0,30,0,56,8577786,0.0,0
0,30,1,17,8577786,0.0,2
0,30,2,21,8577785,31.0,3
0,30,3,49,8588858,37.92,2
0,30,4,45,8577741,40.05,0
0,30,5,25,8588858,42.31,5
0,30,6,53,8589155,43.43,0
0,30,7,26,8588858,44.56,1
0,30,8,22,8589154,45.5,5
0,30,9,54,8592375,55.49,4
0,30,10,50,8592375,55.52,0
0,30,11,6,8577820,60.53,1
0,30,12,34,8588858,66.9,0
0,30,13,4,8577741,69.03,2
0,30,14,32,8592378,77.95,0
0,40,0,66,8588858,0.0,0
0,40,1,23,8588858,0.0,2
0,40,2,56,8577741,23.12,0
0,40,3,30,8588858,35.0,5
0,40,4,63,8589155,36.21,0
0,40,5,27,8589154,38.22,4
0,40,6,31,8588858,39.84,5
0,40,7,60,8592375,48.51,1
0,40,8,64,8592375,48.54,0
0,40,9,25,8577820,53.53,1
0,40,10,58,8588858,60.0,0
0,40,11,24,8577741,62.15,2
0,40,12,57,8592378,72.69,0
0,50,0,64,8592375,43.05,0
0,50,1,30,8577820,48.0,1
0,50,2,62,8588858,54.47,0
0,50,3,29,8577741,56.62,2
0,50,4,21,8592374,61.16,4
0,50,5,61,8592378,68.9,2
0,50,6,17,8577785,70.68,4
0,50,7,49,8577786,73.1,2
0,50,8,53,8589130,77.41,0
0,50,9,4,8577786,81.86,1
0,50,10,36,8588351,87.87,0
0,60,0,72,8577741,50.0,1
0,60,1,28,8577741,50.0,3
0,60,2,35,8592374,54.68,5
0,60,3,64,8592378,62.34,3
0,60,4,34,8577785,64.12,5
0,60,5,70,8577786,67.06,3
0,60,6,71,8589130,71.6,1
0,60,7,30,8577786,76.01,2
0,60,8,14,8592378,79.42,6
0,60,9,66,8588351,85.29,5
0,60,10,50,8589147,93.15,1
0,60,11,0,8589147,93.19,3
0,60,12,36,8589161,103.83,1
1,0,0,37,8592375,0.0,0
1,0,1,11,8589161,6.15,1
1,0,2,29,8592374,8.54,0
1,0,3,9,8588858,15.0,2
1,0,4,13,8588858,15.04,4
1,0,5,12,8589155,16.18,8
1,0,6,30,8592374,17.51,4
1,0,7,10,8587255,21.12,5
1,0,8,8,8587255,21.97,7
1,0,9,26,8589158,29.61,5
1,0,10,27,8589147,30.47,3
1,0,11,31,8589138,31.89,1
1,0,12,28,8589141,33.61,0
1,10,0,47,8592374,0.0,0
1,10,1,21,8588858,6.43,2
1,10,2,18,8588858,6.47,4
1,10,3,20,8589155,7.6,8
1,10,4,43,8592374,8.94,4
1,10,5,17,8587255,12.55,6
1,10,6,44,8589138,19.26,4
1,10,7,41,8589147,20.83,2
1,10,8,40,8589158,21.74,0
1,10,9,19,8587255,28.97,1
1,10,10,0,8589152,36.61,2
1,10,11,4,8589152,36.65,5
1,10,12,42,8589141,37.43,4
1,10,13,3,8589147,40.75,5
1,10,14,26,8588351,49.47,4
1,10,15,27,8592378,54.13,1
1,10,16,23,8592377,55.14,0
1,20,0,55,8589138,0.0,0
1,20,1,20,8589138,0.0,2
1,20,2,21,8589138,10.0,4
1,20,3,48,8589147,11.62,2
1,20,4,47,8589158,12.53,0
1,20,5,26,8587255,19.85,1
1,20,6,53,8589141,28.25,0
1,20,7,25,8589152,28.99,3
1,20,8,22,8589152,29.73,4
1,20,9,8,8504622,32.5,6
1,20,10,35,8589147,33.97,4
1,20,11,24,8589147,34.0,5
1,20,12,0,8589161,42.49,6
1,20,13,27,8588351,45.21,5
1,20,14,51,8588351,45.24,4
1,20,15,52,8592378,49.86,1
1,20,16,10,8592377,50.87,2
1,20,17,49,8592377,50.9,1
1,20,18,37,8589154,64.3,0
1,30,0,57,8589152,20.0,0
1,30,1,18,8589152,20.0,1
1,30,2,19,8589152,20.0,4
1,30,3,47,8592378,38.42,1
1,30,4,46,8592377,39.43,0
1,30,5,23,8504622,50.61,2
1,30,6,27,8589147,51.58,3
1,30,7,51,8589147,51.62,1
1,30,8,20,8589161,60.1,2
1,30,9,48,8588351,62.82,1
1,30,10,55,8588351,62.86,0
1,30,11,24,8592377,68.37,1
1,30,12,52,8589154,78.83,0
1,40,0,67,8592377,0.0,1
1,40,1,32,8589147,32.13,2
1,40,2,28,8504622,33.0,4
1,40,3,61,8589147,33.99,2
1,40,4,26,8589161,42.57,3
1,40,5,59,8588351,45.31,2
1,40,6,65,8588351,45.35,1
1,40,7,29,8592377,50.86,2
1,40,8,62,8589154,61.18,1
1,40,9,6,8589154,61.22,2
1,40,10,39,8504622,74.52,1
1,50,0,65,8588351,2.52,1
1,50,1,31,8592377,19.65,2
1,50,2,63,8589154,59.96,1
1,50,3,28,8589154,60.0,2
1,50,4,5,8504622,73.31,6
1,50,5,60,8504622,73.34,5
1,50,6,13,8589138,73.96,6
1,50,7,37,8589141,75.65,2
1,50,8,9,8588351,86.28,3
1,50,9,41,8592375,90.19,2
1,50,10,45,8592378,91.96,1
1,60,0,73,8589154,30.0,4
1,60,1,29,8589154,30.0,5
1,60,2,65,8504622,73.55,4
1,60,3,31,8504622,73.59,8
1,60,4,67,8589141,75.94,4
1,60,5,33,8589138,77.53,5
1,60,6,32,8588351,86.7,6
1,60,7,68,8592375,91.78,5
1,60,8,69,8592378,93.55,4
1,60,9,5,8592378,93.59,8
1,60,10,41,8587356,106.37,4
