bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,24,8589270,0.0,0
0,10,0,34,8589270,0.0,0
0,10,1,4,8591767,0.32,4
0,10,2,21,8577741,25.09,0
0,20,0,46,8591767,0.0,0
0,20,1,11,8591767,0.0,4
0,20,2,4,8591766,23.0,6
0,20,3,27,8589155,36.12,4
0,20,4,34,8577741,39.18,0
0,20,5,7,8577741,39.22,5
0,20,6,30,8592377,47.79,0
0,30,0,44,8591766,23.0,0
0,30,1,7,8591766,23.0,2
0,30,2,8,8591766,23.0,6
0,30,3,29,8589155,36.08,4
0,30,4,30,8577741,41.96,0
0,30,5,20,8577741,42.0,5
0,30,6,42,8592377,50.57,0
0,30,7,4,8592377,50.61,4
0,30,8,26,8589154,68.63,0
0,40,0,48,8589155,11.0,1
0,40,1,11,8589155,11.0,5
0,40,2,35,8577741,15.55,1
0,40,3,23,8577741,36.46,6
0,40,4,47,8592377,47.47,1
0,40,5,22,8592377,52.96,5
0,40,6,46,8589154,68.42,1
0,50,0,38,8592377,8.0,0
0,50,1,18,8592377,8.0,4
0,50,2,37,8589154,48.32,0
0,60,0,46,8589154,0.0,0
1,0,0,25,8591766,1540.01,0
1,10,0,35,8591766,0.0,0
1,20,0,47,8591766,0.0,0
1,30,0,45,8591766,0.0,0
1,30,1,2,8504622,9.69,2
1,30,2,1,8591767,40.0,5
1,30,3,24,8589147,40.69,3
1,30,4,3,8504622,41.57,6
1,30,5,23,8589152,43.34,3
1,30,6,25,8589141,44.25,0
1,40,0,49,8591767,40.0,0
1,40,1,12,8591767,40.0,3
1,40,2,13,8591767,40.21,5
1,40,3,37,8589147,40.84,3
1,40,4,21,8504622,41.71,6
1,40,5,36,8589152,43.22,3
1,40,6,45,8589141,45.19,0
1,50,0,39,8589141,1455.0,0
1,60,0,47,8589141,0.0,0
2,0,0,26,8592377,0.0,0
2,0,1,11,8592377,0.0,1
2,0,2,2,8588858,9.35,5
2,0,3,23,8592374,11.96,4
2,0,4,14,8577820,18.15,0
2,10,0,36,8588858,1.0,0
2,10,1,8,8588858,1.0,4
2,10,2,9,8588858,1.0,5
2,10,3,26,8592374,3.57,4
2,10,4,25,8577820,8.03,0
2,20,0,48,8577820,0.0,0
2,30,0,46,8577820,1435.0,0
2,40,0,50,8577820,0.0,0
2,50,0,40,8577820,1485.0,0
2,60,0,48,8577820,38.42,0
2,60,1,10,8588351,40.0,4
2,60,2,33,8592375,75.09,0
3,0,0,27,8588344,12.85,0
3,0,1,6,8588344,12.85,2
3,0,2,18,8588858,21.86,0
3,0,3,3,8589155,23.0,4
3,0,4,15,8587238,30.84,0
3,10,0,37,8588344,0.0,0
3,10,1,14,8588344,8.36,2
3,10,2,31,8588858,21.86,0
3,10,3,13,8589155,23.0,4
3,10,4,30,8587238,30.84,0
3,20,0,49,8588344,0.0,0
3,20,1,12,8588344,0.0,2
3,20,2,35,8588858,21.88,0
3,20,3,22,8589155,23.0,4
3,20,4,45,8587238,35.11,0
3,30,0,47,8589155,0.0,0
3,30,1,9,8589155,0.0,4
3,30,2,31,8587238,16.07,0
3,40,0,51,8587238,0.0,0
3,50,0,41,8587238,1485.0,0
3,60,0,49,8587238,1465.01,0
4,0,0,28,8589130,282.12,0
4,10,0,38,8589130,0.0,0
4,10,1,5,8589131,3.78,6
4,10,2,22,8577785,20.24,0
4,20,0,50,8589131,0.0,0
4,20,1,13,8589131,0.0,6
4,20,2,36,8577785,20.96,0
4,20,3,6,8577785,21.0,5
4,20,4,29,8588858,27.92,0
4,20,5,8,8589154,28.85,2
4,20,6,31,8592375,54.92,0
4,30,0,48,8589154,0.0,0
4,30,1,10,8589154,0.0,2
4,30,2,5,8588858,35.0,6
4,30,3,27,8589155,36.12,2
4,30,4,32,8592375,43.85,0
4,40,0,52,8589155,25.0,0
4,40,1,14,8589155,25.0,2
4,40,2,38,8592375,37.26,0
4,50,0,42,8592375,1485.0,0
4,60,0,50,8592375,125.0,0
5,0,0,29,8591767,0.0,0
5,0,1,4,8591767,6.0,2
5,0,2,16,8587356,8.27,0
5,10,0,39,8587356,0.0,0
5,20,0,51,8587356,0.0,0
5,30,0,49,8587356,0.0,0
5,40,0,53,8587356,0.0,0
5,50,0,43,8587356,1485.0,0
5,60,0,51,8587356,1465.01,0
6,0,0,30,8591767,0.5,0
6,0,1,5,8591766,2.82,5
6,0,2,17,8587255,8.51,0
6,0,3,7,8589152,23.0,5
6,0,4,19,8587255,30.74,0
6,10,0,40,8587255,0.0,0
6,10,1,15,8589152,7.6,5
6,10,2,32,8587255,15.74,0
6,20,0,52,8587255,0.0,0
6,30,0,50,8587255,1435.0,0
6,40,0,54,8587255,0.0,0
6,50,0,44,8587255,1485.0,0
6,60,0,52,8587255,0.0,0
7,0,0,31,8589271,1540.01,0
7,10,0,41,8589271,0.0,6
7,20,0,53,8589271,0.0,0
7,30,0,51,8589271,1435.0,0
7,40,0,55,8589271,0.0,0
7,50,0,45,8589271,1485.0,0
7,60,0,53,8589271,76.95,0
7,60,1,9,8589271,76.95,3
7,60,2,0,8589271,76.99,5
7,60,3,32,8577786,97.13,2
7,60,4,23,8592377,100.02,0
8,0,0,32,8592375,1425.98,0
8,10,0,42,8592375,0.0,0
8,20,0,54,8592375,0.0,0
8,30,0,52,8592375,1435.0,0
8,40,0,56,8592375,0.0,0
8,40,1,4,8588344,47.0,6
8,40,2,28,8589154,57.62,0
8,40,3,5,8577741,58.95,3
8,40,4,29,8592378,80.75,0
8,50,0,46,8588344,47.0,0
8,50,1,6,8588344,47.0,6
8,50,2,25,8589154,57.58,0
8,50,3,16,8577741,58.92,3
8,50,4,35,8592378,74.7,0
8,60,0,54,8577741,20.0,0
8,60,1,11,8577741,20.0,3
8,60,2,34,8592378,67.81,0
9,0,0,33,8592375,1540.01,0
9,10,0,43,8592375,0.0,0
9,20,0,55,8592375,0.0,0
9,30,0,53,8592375,0.0,0
9,30,1,6,8592375,0.0,4
9,30,2,28,8589161,36.39,0
9,40,0,57,8589161,0.0,0
9,50,0,47,8589161,1485.0,0
9,60,0,55,8589161,49.98,0
9,60,1,4,8589161,49.98,4
9,60,2,27,8589154,89.44,0
10,0,0,34,8589152,1540.01,8
10,10,0,44,8589152,0.0,0
10,10,1,6,8589152,0.0,7
10,10,2,23,8592377,30.18,0
10,20,0,56,8589152,0.0,0
10,20,1,14,8589152,0.0,7
10,20,2,9,8504622,22.6,8
10,20,3,32,8589131,35.27,7
10,20,4,37,8592377,41.0,0
10,30,0,54,8504622,25.0,0
10,30,1,11,8504622,25.0,1
10,30,2,12,8504622,25.0,8
10,30,3,33,8589131,35.23,7
10,30,4,34,8592377,40.97,0
10,40,0,58,8589131,10.0,0
10,40,1,15,8589131,10.0,7
10,40,2,39,8592377,15.65,0
10,40,3,2,8592377,43.0,2
10,40,4,26,8591767,54.52,0
10,40,5,8,8589147,55.18,6
10,40,6,32,8592377,67.7,0
10,50,0,48,8592377,22.0,2
10,50,1,7,8592377,22.0,4
10,50,2,26,8591767,63.33,2
10,50,3,17,8589147,64.0,8
10,50,4,36,8592377,76.67,2
10,60,0,56,8592377,43.0,0
10,60,1,12,8592377,43.0,2
