bus_id,decision_interval,step_sequence,logical_node,action,horizon_status,location,arrival_time,pax_exchange,passenger_load
0,0,0,24,Start,Executed,8592377,0.0,0,4
0,0,1,11,Pickup,Executed,8592377,0.0,1,4
0,0,2,23,Dropoff,Planned,8592374,10.0,-1,5
0,0,3,46,End,Planned,0,11.0,0,4
0,10,0,38,Start,Executed,8592377,0.0,0,0
0,10,1,18,Pickup,Executed,8592377,4.37,1,0
0,10,2,0,Pickup,Executed,8589161,12.0,4,1
0,10,3,37,Dropoff,Executed,8592374,14.39,-1,5
0,10,4,19,Dropoff,Executed,8592374,14.42,-4,4
0,10,5,3,Pickup,Executed,8589161,16.66,5,0
0,10,6,22,Dropoff,Planned,8589130,28.1,-5,5
0,10,7,60,End,Planned,0,29.0,0,0
0,20,0,40,Start,Executed,8589161,0.0,0,0
0,20,1,12,Pickup,Executed,8589161,11.0,5,0
0,20,2,32,Dropoff,Executed,8589130,22.4,-5,5
0,20,3,10,Pickup,Executed,8588344,27.79,3,0
0,20,4,30,Dropoff,Planned,8589155,38.22,-3,3
0,20,5,62,End,Planned,0,39.0,0,0
0,30,0,34,Start,Executed,8588344,0.0,0,0
0,30,1,16,Pickup,Executed,8588344,24.0,3,0
0,30,2,33,Dropoff,Executed,8589155,34.4,-3,3
0,30,3,56,End,Planned,0,35.0,0,0
0,40,0,36,Start,Executed,8589155,0.0,0,0
0,40,1,0,Pickup,Executed,8588858,46.37,6,0
0,40,2,18,Dropoff,Planned,8592375,55.04,-6,6
0,40,3,58,End,Planned,0,56.0,0,0
0,50,0,38,Start,Executed,8588858,0.0,0,0
0,50,1,6,Pickup,Executed,8588858,46.37,6,0
0,50,2,25,Dropoff,Executed,8592375,55.0,-6,6
0,50,3,60,End,Planned,0,56.0,0,0
0,60,0,44,Start,Executed,8592375,0.0,0,0
0,60,1,66,End,Planned,0,380.0,0,0
1,0,0,25,Start,Executed,8504622,0.0,0,0
1,0,1,4,Pickup,Planned,8591767,18.77,2,0
1,0,2,16,Dropoff,Planned,8587356,21.04,-2,2
1,0,3,47,End,Planned,0,22.0,0,0
1,10,0,39,Start,Executed,8504622,0.0,0,0
1,10,1,12,Pickup,Executed,8591767,9.92,2,0
1,10,2,4,Pickup,Executed,8591767,11.0,4,2
1,10,3,31,Dropoff,Executed,8587356,13.27,-2,6
1,10,4,23,Dropoff,Planned,8577741,32.08,-4,4
1,10,5,61,End,Planned,0,33.0,0,0
1,20,0,41,Start,Executed,8587356,0.0,0,0
1,20,1,13,Pickup,Executed,8587356,11.0,4,0
1,20,2,33,Dropoff,Executed,8577741,23.32,-4,4
1,20,3,63,End,Planned,0,24.0,0,0
1,30,0,35,Start,Executed,8577741,0.0,0,0
1,30,1,57,End,Planned,0,345.0,0,0
1,40,0,37,Start,Executed,8577741,0.0,0,0
1,40,1,10,Pickup,Executed,8577741,48.15,5,0
1,40,2,28,Dropoff,Planned,8589131,58.04,-5,5
1,40,3,59,End,Planned,0,59.0,0,0
1,50,0,39,Start,Executed,8577741,0.0,0,0
1,50,1,16,Pickup,Executed,8577741,48.15,5,0
1,50,2,35,Dropoff,Executed,8589131,58.0,-5,5
1,50,3,61,End,Planned,0,59.0,0,0
1,60,0,45,Start,Executed,8589131,0.0,0,0
1,60,1,67,End,Planned,0,0.0,0,0
2,0,0,26,Start,Executed,8589141,0.0,0,0
2,0,1,48,End,Planned,0,690.0,0,0
2,10,0,40,Start,Executed,8589141,0.0,0,0
2,10,1,62,End,Planned,0,697.0,0,0
2,20,0,42,Start,Executed,8589141,0.0,0,0
