capacity_label,sort_key,minibus_ratio,opt_interval,total_saved_minutes
1×6,106,0.01,30,125.81396442617421
1×6,106,0.03,60,155.81340729593575
1×6,106,0.05,30,209.02794943140404
1×6,106,0.07,240,204.67455667586844
1×6,106,0.09,120,254.1348099246552
1×8,108,0.01,30,125.81396442617421
1×8,108,0.03,60,155.81340729593575
1×8,108,0.05,30,209.02794943140404
1×8,108,0.07,240,204.67455667586844
1×8,108,0.09,120,254.1348099246552
2×6,206,0.01,300,162.51063166895702
2×6,206,0.03,30,296.4009290140609
2×6,206,0.05,30,238.6546701964584
2×6,206,0.07,120,319.1439806019759
2×6,206,0.09,30,367.4524662100461
2×8,208,0.01,300,162.51063166895702
2×8,208,0.03,30,296.4009290140609
2×8,208,0.05,30,238.6546701964584
2×8,208,0.07,120,319.1439806019759
2×8,208,0.09,30,367.4524662100461
3×6,306,0.01,300,161.09396523901145
3×6,306,0.03,30,291.6079375801349
3×6,306,0.05,240,314.2434733310331
3×6,306,0.07,120,424.6721221300519
3×6,306,0.09,120,542.7586197847338
3×8,308,0.01,300,161.09396523901145
3×8,308,0.03,30,291.6079375801349
3×8,308,0.05,240,314.2434733310331
3×8,308,0.07,120,424.6721221300519
3×8,308,0.09,30,446.51128884710175
5×6,506,0.01,30,178.96063263206437
5×6,506,0.03,120,287.55793719805854
5×6,506,0.05,300,459.96891303711476
5×6,506,0.07,240,487.66570562856566
5×6,506,0.09,300,727.3170208864176
5×8,508,0.01,30,178.96063263206437
5×8,508,0.03,120,287.55793719805854
5×8,508,0.05,300,459.96891303711476
5×8,508,0.07,240,487.66570562856566
5×8,508,0.09,300,727.3170208864176
