vehicle_id,type,total_passengers,avg_occupancy,max_occupancy,occupancy_rate,total_boardings,total_alightings,stations_served,idle_time,service_time
BUS_1_T1,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
MINIBUS_1,Minibus,2,1.4666666666666666,2,0.24444444444444444,2,2,3,0.0,900.0
BUS_2_T1,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
MINIBUS_2,Minibus,2,1.0,2,0.16666666666666666,2,2,3,0.0,870.0
BUS_3_T1,Bus,1,1.0,1,0.0125,1,1,3,0.0,840.0
MINIBUS_3,Minibus,2,1.6666666666666667,2,0.2777777777777778,2,2,3,0.0,1080.0
BUS_1_T2,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
BUS_2_T2,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
BUS_3_T2,Bus,0,0.0,0,0.0,0,0,3,840.0,0.0
BUS_1_T3,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
BUS_2_T3,Bus,0,0.0,0,0.0,0,0,4,900.0,0.0
BUS_3_T3,Bus,0,0.0,0,0.0,0,0,2,420.0,0.0
