bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,24,8589270,895.08,0
0,10,0,38,8589270,1415.01,0
0,20,0,48,8589270,1561.62,0
0,30,0,42,8589270,1435.01,0
0,40,0,42,8589270,0.0,0
0,40,1,8,8589147,49.0,6
0,40,2,29,8592377,61.52,0
0,50,0,38,8589147,19.0,0
0,50,1,6,8589147,19.0,6
0,50,2,25,8592377,61.48,0
0,50,3,5,8577741,71.5,3
0,50,4,24,8589152,87.36,0
0,60,0,46,8589147,49.0,0
0,60,1,13,8589147,49.0,6
0,60,2,36,8592377,61.93,0
0,60,3,21,8577741,72.14,3
0,60,4,44,8589152,88.32,0
1,0,0,25,8589158,0.0,0
1,10,0,39,8589158,0.0,0
1,10,1,1,8589158,15.0,2
1,10,2,20,8589138,17.61,0
1,20,0,49,8589138,1510.0,0
1,30,0,43,8589138,0.0,0
1,30,1,1,8591767,40.0,3
1,30,2,3,8504622,40.57,6
1,30,3,22,8589152,42.24,3
1,30,4,24,8589141,43.02,0
1,40,0,43,8591767,40.0,0
1,40,1,11,8591767,40.0,3
1,40,2,20,8504622,40.58,6
1,40,3,32,8589152,42.15,3
1,40,4,41,8589141,44.07,0
1,50,0,39,8589141,1455.5,0
1,60,0,47,8589141,315.0,0
2,0,0,26,8589158,0.0,0
2,10,0,40,8589158,1550.01,0
2,20,0,50,8589158,1561.62,0
2,30,0,44,8589158,1435.01,0
2,40,0,44,8589158,1525.01,0
2,50,0,40,8589158,730.5,0
2,60,0,48,8589158,1525.15,0
3,0,0,27,8589152,0.0,0
3,0,1,1,8587238,10.52,3
3,0,2,13,8592377,19.13,0
3,10,0,41,8589152,0.0,0
3,10,1,14,8587238,10.52,3
3,10,2,33,8592377,22.45,0
3,20,0,51,8587238,0.0,0
3,20,1,11,8587238,0.0,3
3,20,2,35,8592377,17.04,0
3,20,3,0,8577786,20.25,5
3,20,4,24,8577741,29.04,0
3,20,5,7,8577741,29.07,5
3,20,6,31,8592377,54.8,0
3,30,0,45,8577741,27.0,0
3,30,1,7,8577741,27.0,5
3,30,2,28,8592377,35.53,0
3,30,3,4,8592377,35.57,4
3,30,4,25,8589154,48.46,0
3,40,0,45,8592377,38.38,0
3,40,1,12,8592377,38.38,4
3,40,2,33,8589154,48.66,0
3,40,3,5,8577741,50.0,3
3,40,4,1,8592374,54.54,6
3,40,5,26,8592378,65.79,3
3,40,6,22,8589130,73.44,0
3,50,0,41,8577741,50.0,0
3,50,1,7,8577741,50.0,3
3,50,2,16,8592374,58.01,6
3,50,3,26,8592378,65.75,3
3,50,4,35,8589130,73.41,0
3,60,0,49,8592374,50.0,0
3,60,1,14,8592374,50.0,3
3,60,2,15,8592374,50.0,6
3,60,3,37,8592378,61.43,3
3,60,4,38,8589130,70.74,0
4,0,0,28,8591766,6.8,0
4,0,1,5,8591766,6.8,5
4,0,2,17,8587255,12.49,0
4,0,3,8,8588344,23.94,3
4,0,4,20,8589158,36.91,0
4,10,0,42,8591766,2.09,0
4,10,1,8,8591766,2.09,5
4,10,2,27,8587255,7.74,0
4,10,3,17,8588344,19.2,3
4,10,4,36,8589158,30.84,0
4,20,0,52,8588344,5.86,0
4,20,1,12,8588344,5.86,3
4,20,2,36,8589158,36.73,0
4,30,0,46,8588344,0.0,0
4,30,1,8,8588344,0.0,3
4,30,2,2,8504622,35.34,5
4,30,3,23,8589147,36.3,3
4,30,4,29,8589158,37.21,0
4,40,0,46,8589158,1445.01,0
4,50,0,42,8589158,1480.0,0
4,60,0,50,8589158,1601.05,0
5,0,0,29,8588351,1540.11,0
5,10,0,43,8588351,1550.01,0
5,20,0,53,8588351,1561.62,0
5,30,0,47,8588351,1435.01,0
5,40,0,47,8588351,1475.01,0
5,50,0,43,8588351,1480.0,0
5,60,0,51,8588351,0.0,0
6,0,0,30,8589155,1513.86,0
6,10,0,44,8589155,680.01,0
6,20,0,54,8589155,1510.0,0
6,30,0,48,8589155,1495.01,0
6,40,0,48,8589155,1484.0,0
6,50,0,44,8589155,1480.0,0
6,60,0,52,8589155,1601.05,0
7,0,0,31,8592375,353.73,0
7,10,0,45,8592375,128.36,0
7,20,0,55,8592375,1561.62,0
7,30,0,49,8592375,0.0,0
7,30,1,6,8592375,0.0,4
7,30,2,27,8589161,36.39,0
7,40,0,49,8589161,1475.01,0
7,50,0,45,8589161,1455.5,0
7,60,0,53,8589161,35.0,0
7,60,1,4,8589161,35.0,4
7,60,2,27,8589154,74.47,0
7,60,3,12,8589154,74.5,4
7,60,4,35,8504622,88.09,0
8,0,0,32,8589138,0.0,0
8,0,1,9,8589158,2.52,5
8,0,2,21,8589147,6.87,0
8,10,0,46,8589147,1550.01,0
8,20,0,56,8589147,0.0,0
8,20,1,1,8589147,0.0,2
8,20,2,25,8588351,39.01,0
8,30,0,50,8589147,12.03,0
8,30,1,9,8589147,12.03,2
8,30,2,0,8589158,45.8,6
8,30,3,30,8588351,55.48,4
8,30,4,21,8589155,63.75,0
8,40,0,50,8589147,7.79,0
8,40,1,13,8589147,7.79,2
8,40,2,19,8589158,40.0,6
8,40,3,34,8588351,49.61,4
8,40,4,40,8589155,56.69,0
8,40,5,7,8577820,63.0,4
8,40,6,28,8588858,69.47,0
8,50,0,46,8588351,21.29,0
8,50,1,8,8588351,21.29,4
8,50,2,27,8589155,56.69,0
8,50,3,18,8577820,63.0,4
8,50,4,37,8588858,69.47,0
8,60,0,54,8589155,0.0,0
8,60,1,22,8577820,18.0,4
8,60,2,45,8588858,54.86,0
