bus_id,simulation_time,stop_sequence,logical_node,physical_location,arrival_time
0,0,0,20,8589131,0
0,0,1,8,8588351,0
0,0,2,5,8588351,0
0,0,3,15,8592375,0
0,0,4,18,8592377,0
0,10,0,44,8588351,10
0,10,1,20,8588351,10
0,10,2,18,8588351,10
0,10,3,40,8592375,10
0,10,4,42,8592377,10
0,10,5,0,8577785,10
0,10,6,3,8589130,10
0,10,7,25,8589270,10
0,10,8,22,8589141,10
0,20,0,36,8592377,20
0,20,1,9,8577785,20
0,20,2,7,8589130,20
0,20,3,10,8589130,20
0,20,4,28,8589270,20
0,20,5,25,8589270,20
0,20,6,27,8589141,20
0,30,0,46,8589130,30
0,30,1,16,8589130,30
0,30,2,14,8589130,30
0,30,3,15,8589130,30
0,30,4,7,8589130,30
0,30,5,30,8589152,30
0,30,6,38,8589141,30
0,30,7,39,8589270,30
0,30,8,37,8589270,30
0,40,0,54,8589130,40
0,40,1,25,8589130,40
0,40,2,23,8589130,40
0,40,3,19,8589130,40
0,40,4,24,8589130,40
0,40,5,52,8589270,40
0,40,6,15,8591767,40
0,40,7,50,8589270,40
0,40,8,51,8589141,40
0,40,9,42,8589141,40
0,40,10,46,8589152,40
0,50,0,40,8589130,50
0,50,1,17,8589130,50
0,50,2,15,8589130,50
0,50,3,19,8589130,50
0,50,4,18,8589130,50
0,50,5,37,8589270,50
0,50,6,13,8591767,50
0,50,7,33,8589141,50
0,50,8,38,8589141,50
0,50,9,35,8589152,50
0,50,10,39,8589270,50
1,0,0,21,8588351,0
1,0,1,0,8589154,0
1,0,2,3,8589155,0
1,0,3,10,8577786,0
1,0,4,13,8587356,0
1,10,0,45,8589154,10
1,10,1,14,8589154,10
1,10,2,17,8589155,10
1,10,3,36,8577786,10
1,10,4,39,8587356,10
1,20,0,37,8577786,20
1,20,1,15,8577786,20
1,20,2,33,8587356,20
1,20,3,1,8588344,20
1,20,4,19,8589271,20
1,30,0,47,8587356,30
1,30,1,11,8588344,30
1,30,2,3,8588351,30
1,30,3,26,8577820,30
1,30,4,6,8591767,30
1,30,5,29,8589270,30
1,30,6,34,8589271,30
1,40,0,55,8588351,40
1,40,1,18,8591767,40
1,40,2,45,8589270,40
1,40,3,17,8588351,40
1,40,4,20,8588351,40
1,40,5,3,8588351,40
1,40,6,44,8577820,40
1,40,7,30,8589141,40
1,40,8,47,8589271,40
1,50,0,41,8577820,50
1,50,1,16,8577820,50
1,50,2,8,8577820,50
1,50,3,28,8589141,50
1,50,4,36,8589271,50
1,50,5,2,8591767,50
1,50,6,22,8592374,50
2,0,0,22,8577786,0
2,0,1,7,8591766,0
2,0,2,17,8589138,0
2,0,3,1,8504622,0
2,0,4,11,8592374,0
2,10,0,46,8589138,10
2,10,1,2,8504622,10
2,10,2,15,8504622,10
2,10,3,24,8589147,10
2,10,4,37,8592374,10
2,20,0,38,8589147,20
2,20,1,14,8589147,20
2,20,2,5,8589161,20
2,20,3,32,8592374,20
2,20,4,23,8589154,20
2,30,0,48,8589161,30
2,30,1,13,8589161,30
