bus_id,decision_interval,step_sequence,logical_node,location,arrival_time,passenger_load
0,0,0,10,8589158,0.0,0.0
0,0,1,2,8588858,13.96,3.0
0,0,2,3,8589155,18.31,4.0
0,0,3,7,8577820,23.97,1.0
0,0,4,8,8587238,26.48,0.0
0,10,0,20,8588858,13.96,0.0
0,10,1,8,8588858,13.96,3.0
0,10,2,9,8589155,15.1,4.0
0,10,3,18,8577820,20.77,1.0
0,10,4,19,8587238,23.27,0.0
0,10,5,1,8588344,32.06,1.0
0,10,6,11,8588858,41.08,0.0
0,10,7,5,8588858,41.11,1.0
0,10,8,15,8589141,55.13,0.0
0,20,0,40,8577820,20.77,0.0
0,20,1,13,8577820,20.77,3.0
0,20,2,14,8577820,20.77,4.0
0,20,3,33,8577820,20.77,1.0
0,20,4,34,8587238,23.3,0.0
0,20,5,16,8588344,32.09,1.0
0,20,6,9,8577786,35.58,4.0
0,20,7,19,8588858,42.0,5.0
0,20,8,36,8588858,42.45,4.0
0,20,9,29,8577741,44.58,1.0
0,20,10,39,8589141,63.18,0.0
0,30,0,50,8588344,32.09,0.0
0,30,1,21,8588344,32.09,1.0
0,30,2,18,8577786,35.58,4.0
0,30,3,24,8588858,41.61,5.0
0,30,4,43,8577741,43.75,2.0
0,30,5,46,8588858,46.01,1.0
0,30,6,2,8589161,50.39,3.0
0,30,7,27,8588351,53.11,1.0
0,30,8,49,8589141,62.3,0.0
0,40,0,66,8588858,41.61,0.0
0,40,1,25,8588858,41.61,3.0
0,40,2,26,8588858,41.61,4.0
0,40,3,59,8588858,41.61,3.0
0,40,4,32,8588858,41.65,4.0
0,40,5,58,8577741,44.93,1.0
0,40,6,30,8589161,51.77,3.0
0,40,7,63,8588351,54.51,1.0
0,40,8,65,8589141,63.67,0.0
0,50,0,54,8589161,51.77,0.0
0,50,1,24,8589161,51.77,1.0
0,50,2,26,8589161,51.77,3.0
0,50,3,53,8588351,54.51,1.0
0,50,4,51,8589141,63.67,0.0
0,50,5,10,8504622,65.99,2.0
0,50,6,37,8589147,66.98,0.0
0,50,7,8,8589158,67.84,2.0
0,50,8,9,8591767,69.05,3.0
0,50,9,11,8504622,69.67,5.0
0,50,10,36,8589152,71.24,4.0
0,50,11,38,8589141,72.0,2.0
0,50,12,5,8589141,72.04,4.0
0,50,13,6,8577820,81.1,5.0
0,50,14,32,8577820,81.13,3.0
0,50,15,33,8588858,87.6,2.0
0,50,16,35,8589155,88.81,0.0
0,60,0,50,8589141,63.67,0.0
0,60,1,14,8589141,63.67,1.0
0,60,2,39,8589141,63.67,0.0
0,60,3,22,8504622,65.93,2.0
0,60,4,21,8591767,66.25,3.0
0,60,5,47,8589147,66.88,1.0
0,60,6,23,8504622,67.75,3.0
0,60,7,46,8589152,69.24,2.0
0,60,8,17,8589141,69.9,4.0
0,60,9,48,8589141,70.11,2.0
0,60,10,20,8589158,74.14,4.0
0,60,11,18,8577820,82.25,5.0
0,60,12,42,8577820,82.29,3.0
0,60,13,43,8588858,89.14,2.0
0,60,14,6,8589154,90.11,3.0
0,60,15,45,8589155,92.5,1.0
0,60,16,31,8504622,104.15,0.0
1,0,0,11,8591766,0.0,0.0
1,0,1,4,8591767,6.0,2.0
1,0,2,9,8587356,8.27,0.0
1,10,0,21,8587356,10.0,0.0
1,10,1,2,8589152,28.74,1.0
1,10,2,4,8589158,32.28,3.0
1,10,3,14,8589147,33.14,1.0
1,10,4,0,8591766,34.6,3.0
1,10,5,10,8587255,40.29,1.0
1,10,6,12,8587255,40.33,0.0
1,20,0,41,8589158,32.28,0.0
1,20,1,18,8589158,32.28,2.0
1,20,2,38,8589147,33.14,0.0
1,20,3,11,8589152,35.68,4.0
1,20,4,17,8589152,35.72,5.0
1,20,5,15,8591766,38.07,7.0
1,20,6,35,8587255,43.74,5.0
1,20,7,37,8587255,43.78,4.0
1,20,8,1,8589161,45.93,5.0
1,20,9,21,8592374,48.3,4.0
1,20,10,31,8592378,55.52,0.0
1,30,0,51,8589158,32.28,0.0
1,30,1,23,8589158,32.28,2.0
1,30,2,48,8589147,33.14,0.0
1,30,3,19,8589152,35.68,4.0
1,30,4,22,8589152,35.72,5.0
1,30,5,20,8591766,38.07,7.0
1,30,6,45,8587255,43.74,5.0
1,30,7,47,8587255,43.78,4.0
1,30,8,17,8589161,45.93,5.0
1,30,9,42,8592374,48.3,4.0
1,30,10,44,8592378,55.52,0.0
1,40,0,67,8587255,43.74,0.0
1,40,1,27,8587255,43.74,4.0
1,40,2,28,8587255,43.74,6.0
1,40,3,29,8587255,43.74,7.0
1,40,4,61,8587255,43.74,5.0
1,40,5,62,8587255,43.78,4.0
1,40,6,31,8589161,45.98,5.0
1,40,7,64,8592374,48.52,4.0
1,40,8,60,8592378,60.63,0.0
1,50,0,55,8592378,60.63,0.0
1,50,1,25,8592378,60.63,4.0
1,50,2,52,8592378,60.63,0.0
1,50,3,7,8588344,66.96,1.0
1,50,4,3,8588344,67.0,3.0
1,50,5,4,8577741,76.87,4.0
1,50,6,30,8589154,78.38,2.0
1,50,7,34,8589155,80.8,1.0
1,50,8,31,8592378,92.65,0.0
1,60,0,51,8592378,60.63,0.0
1,60,1,24,8592378,60.63,4.0
1,60,2,49,8592378,60.63,0.0
1,60,3,19,8588344,67.0,1.0
1,60,4,15,8588344,67.03,3.0
1,60,5,44,8589155,77.72,2.0
1,60,6,40,8589154,79.74,0.0
1,60,7,16,8577741,83.0,1.0
1,60,8,2,8577741,84.18,2.0
1,60,9,27,8589131,94.52,1.0
1,60,10,41,8592378,100.81,0.0
