req_id,status,orig,dest,time_requested,time_picked_up,time_dropped_off,assigned_bus,passenger_count,wait_time_mins,travel_time_mins,total_system_time
0,completed,8587255,8587238,4,4.0,11.516666666666667,2.0,1,0.0,7.5166666666666675,7.5166666666666675
1,completed,8589161,8588858,2,15.0,21.166666666666668,1.0,3,13.0,6.166666666666668,19.166666666666668
2,completed,8587255,8589155,8,12.833333333333334,22.61999999999989,1.0,3,4.833333333333334,9.786666666666557,14.61999999999989
3,completed,8587255,8587356,6,6.0,14.453333333333383,0.0,1,0.0,8.453333333333383,8.453333333333383
4,completed,8587255,8591767,3,5.963333333333367,12.186666666666731,0.0,2,2.9633333333333667,6.223333333333365,9.186666666666731
5,completed,8589161,8589271,29,29.0,44.83666666666545,1.0,1,0.0,15.836666666665451,15.836666666665451
6,completed,8587255,8589147,23,25.963333333333367,32.95333333333172,0.0,2,2.9633333333333667,6.9899999999983535,9.95333333333172
7,completed,8588351,8589138,23,31.716666666666665,41.96999999999889,1.0,2,8.716666666666665,10.253333333332225,18.96999999999889
8,completed,8589155,8587356,24,25.683333333333334,39.35333333333301,1.0,1,1.6833333333333336,13.669999999999678,15.353333333333012
9,completed,8587255,8589161,22,39.73666666236462,41.893333329030156,2.0,1,17.73666666236462,2.1566666666655365,19.893333329030156
10,abandoned,8589155,8589130,24,,,,4,,,
11,completed,8589161,8588344,25,41.92999917187308,52.90333250520575,2.0,2,16.929999171873078,10.973333333332675,27.903332505205753
12,completed,8587255,8591767,26,26.0,32.266666666666666,0.0,1,0.0,6.266666666666666,6.266666666666666
13,completed,8587255,8589131,25,39.699999995698136,55.496665838539,2.0,3,14.699999995698136,15.796665842840866,30.496665838539002
14,completed,8588351,8592377,20,19.999968000000017,25.556625775998327,2.0,2,-3.199999998315661e-05,5.5566577759983105,5.556625775998327
15,abandoned,8589155,8589147,21,,,,6,,,
16,abandoned,8589155,8591767,38,,,,1,,,
17,completed,8592374,8592375,40,54.686666666666724,63.25999999999931,0.0,2,14.686666666666724,8.573333333332585,23.25999999999931
18,abandoned,8588351,8592378,35,,,,2,,,
19,completed,8588351,8588344,31,44.66666583853976,52.93999917187239,2.0,1,13.666665838539757,8.27333333333263,21.939999171872387
20,completed,8587255,8589155,33,39.50999999999853,53.25,0.0,3,6.509999999998527,13.740000000001473,20.25
21,abandoned,8592374,8591767,33,,,,4,,,
22,completed,8587255,8577741,34,39.546666666665026,49.3033333333301,0.0,1,5.5466666666650255,9.756666666665076,15.303333333330102
23,abandoned,8589155,8589154,45,,,,1,,,
24,in_transit,8589161,8589131,45,56.90333333333342,,0.0,1,11.903333333333421,,
25,abandoned,8589161,8589155,44,,,,4,,,
26,in_transit,8587255,8589152,50,63.0,,1.0,4,13.0,,
27,abandoned,8589161,8589147,43,,,,2,,,
28,in_transit,8589161,8589141,46,57.016666666666666,,1.0,1,11.016666666666666,,
29,waiting,8592374,8589154,48,,,,1,,,
30,abandoned,8589161,8589155,45,,,,2,,,
31,abandoned,8587255,8588858,40,,,,2,,,
32,abandoned,8592374,8577741,44,,,,2,,,
33,waiting,8587255,8588344,49,,,,1,,,
34,waiting,8592374,8588344,50,,,,5,,,
35,waiting,8589155,8577741,50,,,,4,,,
36,abandoned,8589155,8577820,44,,,,1,,,
37,waiting,8589161,8588858,58,,,,2,,,
38,waiting,8588351,8592377,59,,,,2,,,
39,in_transit,8589155,8592378,59,65.84999917187224,,2.0,1,6.849999171872241,,
40,in_transit,8589155,8589131,53,65.81333250520561,,2.0,2,12.813332505205608,,
41,waiting,8589161,8589271,57,,,,2,,,
42,completed,8587255,8589161,50,54.773333333332175,56.97999999999888,1.0,3,4.773333333332175,2.206666666666706,6.979999999998881
43,waiting,8587255,8577820,60,,,,1,,,
44,waiting,8589161,8592374,70,,,,2,,,
45,waiting,8589155,8589152,61,,,,1,,,
46,waiting,8589155,8577741,69,,,,3,,,
47,waiting,8589155,8589271,64,,,,2,,,
48,waiting,8588351,8577785,60,,,,3,,,
49,waiting,8587255,8589155,68,,,,2,,,
50,waiting,8592374,8589161,70,,,,1,,,
51,in_transit,8592374,8577786,64,67.36666583853889,,2.0,2,3.366665838538893,,
52,waiting,8589155,8504622,67,,,,1,,,
53,waiting,8587255,8587238,64,,,,1,,,
54,waiting,8588351,8589161,72,,,,1,,,
55,waiting,8588351,8577786,80,,,,1,,,
56,waiting,8592374,8592375,80,,,,4,,,
57,waiting,8588351,8589152,73,,,,2,,,
58,waiting,8589161,8589131,72,,,,1,,,
59,waiting,8588351,8589161,78,,,,4,,,
60,waiting,8587255,8589152,75,,,,5,,,
61,waiting,8589155,8587255,71,,,,2,,,
62,waiting,8592374,8592378,74,,,,1,,,
63,waiting,8589161,8591766,73,,,,1,,,
64,waiting,8588351,8591767,71,,,,1,,,
65,waiting,8589155,8592375,71,,,,1,,,
66,waiting,8588351,8589161,82,,,,2,,,
67,waiting,8589161,8589155,87,,,,3,,,
68,waiting,8588351,8504622,84,,,,2,,,
69,waiting,8588351,8577785,89,,,,1,,,
70,waiting,8589155,8588344,88,,,,2,,,
71,waiting,8589161,8589158,84,,,,4,,,
72,waiting,8589155,8589154,85,,,,1,,,
73,waiting,8589155,8592378,88,,,,2,,,
74,waiting,8589155,8577786,83,,,,1,,,
75,waiting,8589161,8591767,85,,,,4,,,
76,waiting,8587255,8587356,88,,,,5,,,
77,waiting,8589161,8587356,83,,,,2,,,
